Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
NDE0009,nissan_europe,معرض سيارات نيسان نزوى,,سناو,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
NDE0010,nissan_europe,معرض سيارات نيسان سناو,,شناص,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
NDE0012,nissan_europe,معرض سيارات نيسان صحار,,صحار,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
NDE0014,nissan_europe,معرض سيارات نيسان مسقط ( المعبيلة),,مسقط,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
NDE0015,nissan_europe,معرض سيارات نيسان مسقط ( القرم),,مسقط,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
NDE0016,nissan_europe,مركز خدمة وقطع غيارنيسان مسقط (الوادي الكبير),,,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
NDE0017,nissan_europe,قطع غيار نيسان مسقط (الوادي الكبير),,,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
NDE0018,nissan_europe,قطع غيار نيسان مسقط (الرميس),,,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
NDE0019,nissan_europe,مركز خدمة وقطع غيار نيسان مسقط (الرسيل),,,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
NDE0020,nissan_europe,قطع غيار نيسان  مصنعة,,,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
NDE0021,nissan_europe,قطع غيار نيسان  صحم,,,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
NDE0022,nissan_europe,قطع غيار الرستاق نيسان,,,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
NDE0023,nissan_europe,قطع غيار نيسان  كرشا,,,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
NDE0024,nissan_europe,قطع غيار نيسان  صلالة الصناعية,,,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
NDE0025,nissan_europe,مركز نيسان لخدمة الصيانة بالدقم,,الوسطى,عمان,,OM,+968 800 50011,,"Mo-Th 08:00-13:00,14:00-17:30; Su 08:00-13:00,14:00-17:30",Nissan,Q20165
