Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72413625,moneygram,COMMERCIAL BANK OF ETHIOPIA - ADUK,,ADUK,,,ET,+251 58 220 0767,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72413586,moneygram,COMMERCIAL BANK OF ETHIOPIA - ASHURA,,ASHURA,,,ET,+251 58 226 5823,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72413544,moneygram,COMMERCIAL BANK OF ETHIOPIA - BESHAIR,,BESHAIR,,,ET,+251 58 661 7674,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72413667,moneygram,COMMERCIAL BANK OF ETHIOPIA - DEJAZMACH,,DEJAZMACH GOSHU,,,ET,+251 58 226 5823,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72413599,moneygram,COMMERCIAL BANK OF ETHIOPIA - DESSIET,,DESSIET,,,ET,582221173,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72413654,moneygram,COMMERCIAL BANK OF ETHIOPIA - FETAM,,FETAM,,,ET,+251 58 226 5823,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72413683,moneygram,COMMERCIAL BANK OF ETHIOPIA - HADDIS ALE,,HADDIS ALEMAYEHU,,,ET,+251 58 220 9362,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72413573,moneygram,COMMERCIAL BANK OF ETHIOPIA - JABI TEHNA,,JABI TEHNAN,,,ET,+251 58 220 0767,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72413638,moneygram,COMMERCIAL BANK OF ETHIOPIA - KIBRAN GEB,,KIBRAN GEBRIEL,,,ET,+251 58 220 0767,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72413557,moneygram,COMMERCIAL BANK OF ETHIOPIA - MINA,,MINA,,,ET,+251 58 220 0767,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72413560,moneygram,COMMERCIAL BANK OF ETHIOPIA - PEDA,,PEDA,,,ET,+251 58 220 0767,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72413696,moneygram,COMMERCIAL BANK OF ETHIOPIA - WEJEL,,WEJEL,,,ET,+251 58 220 9362,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72413612,moneygram,COMMERCIAL BANK OF ETHIOPIA - ZENZELMA,,ZENZELMA,,,ET,+251 58 220 9362,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
