City,Place Name,Zipcode,Name
Seri Kembangan,anytime_fitness,,unknown,Anytime Fitness
Petaling Jaya,anytime_fitness,,unknown,Anytime Fitness
Tamarind Square,anytime_fitness,,unknown,Anytime Fitness
TBD,anytime_fitness,,unknown,Anytime Fitness
Shah Alam,anytime_fitness,,unknown,Anytime Fitness
Bandar Setia Alam Shah Alam,anytime_fitness,,unknown,Anytime Fitness
Highpark Kelana Jaya,anytime_fitness,,unknown,Anytime Fitness
Plaza Shah Alam,anytime_fitness,,unknown,Anytime Fitness
"Bukit Tinggi, Klang",anytime_fitness,,unknown,Anytime Fitness
Bandar Sunway,anytime_fitness,,unknown,Anytime Fitness
Kuala Lumpur,anytime_fitness,,unknown,Anytime Fitness
Bandar Puteri Puchong,anytime_fitness,,unknown,Anytime Fitness
Jalan Bukit,anytime_fitness,,unknown,Anytime Fitness
Putrajaya,anytime_fitness,,unknown,Anytime Fitness
Puchong,anytime_fitness,,unknown,Anytime Fitness
Bandar 16 Sierra Puchong,anytime_fitness,,unknown,Anytime Fitness
Subang Jaya,anytime_fitness,,unknown,Anytime Fitness
"Petaling Jaya,",anytime_fitness,,unknown,Anytime Fitness
Bandar Utama,anytime_fitness,,unknown,Anytime Fitness
Shah Alam,audi,Lot 27 Jalan Pelukis Seksyen Utara Satu Kawasan Perindustrian Temasya U1/46 40150 Shah Alam,unknown,Audi Glenmarie Euromobil Sdn Bhd
"Shah Alam, Selangor",audi,No 22A Pesiaran Setia Dagang Setia Alam Seksyen U13 40170 Shah Alam Selangor,unknown,Audi Setia Alam Rimau International Sdn Bhd
"Petaling Jaya, Kuala Lumpur",aurecongroup,Unit No. 21-01/02/04 Level 21 IMAZIUM No. 8 Jalan SS21/37 Damansara Uptown 47400 Petaling Jaya Selangor Darul Ehsan Malaysia ,unknown,unknown
Puchong,bmw_group,,unknown,Chear Motorrad Sdn Bhd
Petaling Jaya,bmw_group,,unknown,Quill Automobiles Sdn Bhd
Klang,bmw_group,,unknown,Wheelcorp Premium Sdn Bhd (Bukit Tinggi)
