City,Place Name,Zipcode,Name
Sinsheim,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Sinsheim, Karlsplatz 1"
Leonberg,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Leonberg, LEO-Center"
Neckarsulm,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Neckarsulm, Marktstraße 29"
Mühlacker,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Mühlacker, Bahnhofstraße 80"
Heidelberg,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Heidelberg, Hauptstraße 77"
Nagold,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Nagold, Turmstraße 21"
Calw,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Calw, Lederstraße 36"
Wiesloch,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Wiesloch, Hauptstraße 105"
Schwetzingen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Schwetzingen, Mannheimerstr. 18"
Herrenberg im Gäu,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Herrenberg im Gäu, Bronngasse 6 - 8"
Mosbach,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Mosbach, Hauptstraße 31"
Weinheim,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Weinheim, Hauptstraße 75"
Sindelfingen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Sindelfingen, Stern Center"
Böblingen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Böblingen, Mercaden"
Heilbronn,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Heilbronn, Fleiner Straße 17"
Bensheim,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Bensheim, Hauptstraße 20-26"
Pforzheim,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Pforzheim, Westl. Karl-Friedrich-Str. 29 - 31"
Worms,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Worms, Kämmererstraße 9 - 13"
Stuttgart,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Stuttgart Bad Cannstatt, Marktstr. 45"
Mannheim,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Mannheim, Planken O 7/13"
Bretten,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Bretten, Weißhofer Straße 69"
Frankenthal,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Frankenthal, Speyerer Str. 1-3"
