City,Place Name,Zipcode,Name
Samsun,audi,Kirazlık Mah. Atatürk Bulvarı 68 55330 Samsun,unknown,"Özön Petrol, Petr. ur. Otom. Nakl. İnş. Tic. San. Taah. Ltd. Şti(Samsun)"
Samsun,avis,,unknown,Avis Turkey Samsun Airport
SAMSUN,lukoil,Dogankaya Koyu б/н SAMSUN Turkey,unknown,DURSUNLAR PETROL
SAMSUN,lukoil,Civril Mahallesi Civril Merkez Sokagi (Ada:- Pafta:7 Parsel:1042) No:307 SAMSUN Turkey,unknown,TUBA PETROL
SAMSUN,lukoil,YENI SAMSUN YOLU UZERI BEYLERCE MEVKII № 69 SAMSUN,unknown,TR-55-0117
SAMSUN,lukoil,KOPRUBASI MAHALLESI HASTANE BULVARI  CETINKAYA BELDESI № 21 SAMSUN,unknown,TR-55-0757
SAMSUN,lukoil,GUZELYURT MAHALLESI CATALCAM BULVARI CATALCAM No :17 SAMSUN,unknown,OZCELIK PETROL
SAMSUN,lukoil,CAY MAHALLESI UNYE CADDESI SEHIR STADYUMU KARSISI (PAFTA:5 PARSEL:242) бн SAMSUN,unknown,TR-55-0760
SAMSUN,lukoil,KUTLUKENT BELDESI KIRAZLIK MAHALLESI бн SAMSUN,unknown,TR-55-0122
Samsun,mercedes_benz,,unknown,Mengerler  Tic.T.A.Ş. Samsun Şubesi - Karadeniz Motorlu
unknown,sbarro,Carsamba Caddesi No:52 Eski Otogar Mevkii Sanayi Sitesi Yani,unknown,Samsun Piazza Avm
HAVZA SAMSUN,shell,,unknown,BEKDİĞİN
ÇARŞAMBA SAMSUN,shell,,unknown,BEYLERCE SAMSUN
TEKKEKÖY SAMSUN,shell,,unknown,KUTLUKENT.
TERME SAMSUN,shell,,unknown,ELMALIK TERME.
TEKKEKÖY - SAMSUN,shell,,unknown,KAYADİBİ
İLKADIM SAMSUN,shell,,unknown,CUMHURİYET SAMSUN.
MERKEZ SAMSUN,shell,,unknown,DERECİK.
ATAKUM SAMSUN,shell,,unknown,ATAKUM SAMSUN
VEZİRKÖPRÜ / SAMSUN,shell,,unknown,VEZİRKÖPRÜ.
19 MAYIS SAMSUN,shell,,unknown,19 MAYIS
19 MAYIS/SAMSUN,shell,,unknown,DEREKÖY SAMSUN
BAFRA SAMSUN,shell,,unknown,BAFRA MERKEZ
ALAÇAM SAMSUN,shell,,unknown,ALAÇAM SAMSUN
Samsun,starbucks_eu,Adnan Menderes Bulv. Atakum 55210 Samsun,unknown,Atakum Marina
Samsun,starbucks_eu,Cumhuriyet Mah Adnan Menderes Bulv No: 367 55200 Samsun,unknown,Atakum Adnan Menderes Blv
Samsun,starbucks_eu,Istiklal Cd No 186 55070 Samsun,unknown,Ellialtilar
Ilkadim,starbucks_eu,19 Mayis Bulvari No 17 ilkadim Samsun 55030 Ilkadim,unknown,Samsun Bulvar AVM
Samsun,starbucks_eu,Yeni Mah Eski Otogar Mevki arsamba 55080 Samsun,unknown,Kozzy Avm Samsun
Samsun,starbucks_eu,Denizevleri Mahallesi Ataturk Bulvari No156 55200 Atakum Samsun 55200 Samsun,unknown,Samsun Yesilyurt Avm
HAVZA,visa,,unknown,unknown
VEZIRKOPRU,visa,,unknown,unknown
KAVAK,visa,,unknown,unknown
ALACAM,visa,,unknown,unknown
BAFRA,visa,,unknown,unknown
ATAKUM,visa,,unknown,unknown
İLKADIM,visa,,unknown,unknown
CANIK,visa,,unknown,unknown
ONDOKUZMAYIS,visa,,unknown,unknown
MERKEZ,visa,,unknown,unknown
TEKKEKOY,visa,,unknown,unknown
CARŞAMBA,visa,,unknown,unknown
SAMSUN,visa,,unknown,unknown
TERME,visa,,unknown,unknown
