Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
70996131,moneygram,HDBANK - #040 - DONG NAI - DONG NAI,,DONG NAI,,,VN,+84 251 3918 789,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996144,moneygram,HDBANK - #084 - DONG NAI - THANH BINH,,DONG NAI,,,VN,+84 251 3940 779,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996157,moneygram,HDBANK - #079 - DONG NAI - AMATA,,DONG NAI,,,VN,+84 251 6251 009,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996160,moneygram,HDBANK - #095 - DONG NAI - TAN BIEN,,DONG NAI,,,VN,+84 251 3882 550,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996173,moneygram,HDBANK - #142 - DONG NAI - HO NAI,,DONG NAI,,,VN,+84 251 3881 480,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996199,moneygram,HDBANK - #152 - DONG NAI - XUAN HOA,,DONG NAI,,,VN,+84 251 3877 917,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996209,moneygram,HDBANK - #159 - DONG NAI - TRANG BOM,,DONG NAI,,,VN,+84 251 3675 133,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996212,moneygram,HDBANK - #140 - DONG NAI - QUANG VINH,,DONG NAI,,,VN,+84 251 3957 166,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996225,moneygram,HDBANK - #135 - DONG NAI - SGD DONG NAI,,DONG NAI,,,VN,+84 251 3943 457,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996267,moneygram,HDBANK - #139 - DONG NAI - TAN MAI,,DONG NAI,,,VN,+84 251 8822 502,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996270,moneygram,HDBANK - #141 - DONG NAI - DONG KHOI,,DONG NAI,,,VN,+84 251 3943 132,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996306,moneygram,HDBANK - #145 - DONG NAI - TAN HOA,,DONG NAI,,,VN,+84 251 8253 562,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996335,moneygram,HDBANK - #149 - DONG NAI - LONG BINH,,DONG NAI,,,VN,+84 251 3836 184,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70996351,moneygram,HDBANK - #151 - DONG NAI - LONG THANH,,DONG NAI,,,VN,+84 251 3546 529,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
