State,Place Name,City,Establishments
UNKNOWN,accor,unknown,96
10,adidas,Huaikhwang,1
11,adidas,Bangplee,1
12,adidas,Pakkret,1
UNKNOWN,adidas,Bangkok,1
13,adidas,Pathum Thani,1
10,adidas,Bangkok,6
11,adidas,Samut Prakan,2
12,adidas,Nonthaburi,1
13,adidas,Pathumthani,1
UNKNOWN,adidas,Samut Prakan,2
20,adidas,Chonburi,1
UNKNOWN,alstom,unknown,1
UNKNOWN,american_eagle_outfitters,Chiangmai Muang Chiang Mai,1
UNKNOWN,american_eagle_outfitters,Samut Prakarn Bangplee,1
UNKNOWN,american_eagle_outfitters,Pathumthani Thanyaburi,1
UNKNOWN,american_eagle_outfitters,Bangkok Watthana,1
UNKNOWN,american_eagle_outfitters,Bangkok Khan Na Yao,1
UNKNOWN,american_eagle_outfitters,Bangkok Pathumwan,1
BANGKOK,anytime_fitness,Nanglinchee Market Place Mall (สาขานางลิ้นจี่),1
กรงเทพมหานคร,apple,กรุงเทพมหานคร,2
UNKNOWN,ashley_furniture,Bangkok City,1
UNKNOWN,ashley_furniture,Raminthra,1
UNKNOWN,ashley_furniture,Bang Na,1
UNKNOWN,ashley_furniture,Pattaya,1
12,ashley_furniture,Tambon Bang Rak Noi,1
CHONBURI,audi,Pattaya,1
PHUKET,audi,Phuket,1
CHANGWATUDONTHANI,audi,Udonthani,1
BANGKOK,audi,Bangkok,3
BANGKOK,aurecongroup,Bangkok,1
MAHKKENG,avis,Udon Thani,1
UBONRATCHATHANI,avis,Ubon Ratchathani,1
TRANG,avis,Trang,1
SURATTHANI,avis,Suratthani,1
SAMUIISLAND,avis,Samui Island,1
RAYONG,avis,Rayong,1
PRACHUABKHIRIKHAN,avis,Hua Hin,1
PHUKET,avis,Phuket,1
ARANYIK,avis,Phitsanulok,1
PATTAYA,avis,Pattaya,1
MOO2TPHASINGAMUEANG,avis,Nan,1
NAKORNSITHAMARAT,avis,Nakorn Si Thamarat,1
TAMBONPOTAKAMUEANG,avis,Nakhon Phanom,1
TPHRABATAMUEANGLAMPANG,avis,Lampang,1
AMPHURMUENT,avis,Krabi,1
KHONKAEN,avis,Khon Kaen,1
HAADYAI,avis,Haad Yai,1
CHIANGRAI,avis,Chiang Rai,1
AMUANG,avis,Chiang Mai,1
ASATUEK,avis,Buriram,1
BANGKOKSUVARNABHUMIAIRPORT,avis,Bangkok,1
BANGKOK,avis,Bangkok,1
GROUNDFLOOR259SUKHUMVIT19,avis,Bangkok,1
