City,Place Name,Zipcode,Name
Agartala,dominos_pizza_in,AGARTALA TRIPURAGround Floor VIP ROAD GURKHABASTITRIPURA PIN-799006,unknown,"Dominos Pizza VIP ROAD, GURKHABASTI, AGARTALA, TRIPURA"
Agartala,dominos_pizza_in,Ground Floor Right side Holding no. 03275 Ward no. 49 No. 492218 Opposite International Exhibition Centre Hapania Agartala Tripura,unknown,"Dominos Pizza Ground Floor, Right side, Holding no. 03275, Ward no. 49, No. 492218 Opposite International Exhibition Centre, Hapania"
WEST TRIPURA,visa,,unknown,unknown
Dharmanagar,western_union,,unknown,MUTHOOT FINANCE LTD
Kailashahar,western_union,,unknown,INDIA POST PAYMENTS BANK LTD
Unakoti,western_union,,unknown,GANAPATI TOUR AND TRAVELS
Khowai,western_union,,unknown,DEBJANI XEROX AND COMPUTER CENTER
Agartala,western_union,,unknown,SUVAYATRA TRAVELS
Ramnagar,western_union,,unknown,MUTHOOT FINANCE LTD
Agartala Bordwali,western_union,,unknown,MUTHOOT FINANCE LTD
West Tripura,western_union,,unknown,CHOUDHURY COMMUNICATION
Bishalgarh,western_union,,unknown,ROY TAX SOLUTION
Sepahijala,western_union,,unknown,JANNAT TRAVEL AGENCY
Sonamura,western_union,,unknown,FARUK PRINTING
