Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
060959,bash_za,SPORTSCENE MAFIKENG MALL  MAFIKENG,,MAHIKENG,North West,,ZA,,https://bash.com/store/sportscene-mafikeng-mall--mafikeng-2791/060959,Mo 09:00-13:00; Tu-Sa 09:00-18:00; Su 09:00-15:00,Sportscene,Q116378841
000816,bash_za,THE FIX MAFIKENG CROSSING MAFIKENG,,MAHIKENG,North West,,ZA,,https://bash.com/store/the-fix-mafikeng-crossing-mafikeng-2791/000816,Mo 09:00-13:00; Tu-Sa 09:00-18:00; Su 09:00-15:00,The FIX,Q116379523
011247,bash_za,AMERICAN SWISS MAFIKENG MALL  MAFIKENG,,MAHIKENG,North West,,ZA,,https://bash.com/store/american-swiss-mafikeng-mall--mafikeng-2791/011247,Mo 09:00-13:00; Tu-Sa 08:00-17:00; Su 09:00-15:00,American Swiss,Q116430764
069337,bash_za,TOTALSPORTS MAFIKENG,,MAHIKENG,North West,,ZA,,https://bash.com/store/totalsports-mafikeng-2791/069337,Mo 09:00-13:00; Tu-Sa 08:00-17:00; Su 09:00-14:00,Totalsports,Q116379123
000853,bash_za,FOSCHINI MAFIKENG MALL,,MAHIKENG,North West,,ZA,,https://bash.com/store/foschini-mafikeng-mall-2791/000853,Mo 09:00-13:00; Tu-Sa 09:00-18:00; Su 09:00-15:00,Foschini,Q116391780
030966,bash_za,EXACT MAFIKENG,,MAHIKENG,North West,,ZA,,https://bash.com/store/exact-mafikeng-2791/030966,Mo 09:00-13:00; Tu-Sa 08:00-17:00; Su 09:00-13:00,Exact,Q116379381
030967,bash_za,EXACT MAFIKENG MALL  MAFIKENG,,MAHIKENG,North West,,ZA,,https://bash.com/store/exact-mafikeng-mall--mafikeng-2791/030967,Mo 09:00-14:00; Tu-Sa 09:00-18:00; Su 09:00-15:00,Exact,Q116379381
060696,bash_za,TOTALSPORTS MAFIKENG MALL  JOHANNESBURG,,MAHIKENG,North West,,ZA,,https://bash.com/store/totalsports-mafikeng-mall--johannesburg-2791/060696,Mo 09:00-14:00; Tu-Sa 09:00-18:00; Su 09:00-15:00,Totalsports,Q116379123
011212,bash_za,AMERICAN SWISS MAFIKENG CROSSING MAFIKENG,,MAHIKENG,North West,,ZA,,https://bash.com/store/american-swiss-mafikeng-crossing-mafikeng-2791/011212,Mo 09:00-13:00; Tu-Sa 09:00-18:00; Su 09:00-15:00,American Swiss,Q116430764
015161,bash_za,STERNS MAFIKENG,,MAHIKENG,North West,,ZA,,https://bash.com/store/sterns-mafikeng-2791/015161,Mo 09:00-13:00; Tu-Sa 08:00-17:00; Su 09:00-14:00,Sterns,Q116430300
020473,bash_za,MARKHAM NORTH WEST MALL MAFIKENG,,MAHIKENG,North West,,ZA,,https://bash.com/store/markham-north-west-mall-mafikeng-2791/020473,Mo 09:00-13:00; Tu-Sa 08:00-17:00; Su 09:00-14:00,Markham,Q116378583
063343,bash_za,SPORTSCENE MAFIKENG,,MAHIKENG,North West,,ZA,,https://bash.com/store/sportscene-mafikeng-2791/063343,Mo 09:00-14:00; Tu-Sa 09:00-18:00; Su 09:00-15:00,Sportscene,Q116378841
