Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66411280,moneygram,HFC BANK - EBANKESE BRANCH,,ACCRA,,,GH,21686716,,Mo-Fr 08:00-17:00; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
66412331,moneygram,HFC BANK - RIDGE BRANCH,,ACCRA,,,GH,21683910,,Mo-Fr 08:00-16:30; Sa 09:30-15:00; Su 00:00-24:00,MoneyGram,Q1944412
66412441,moneygram,HFC BANK - ACCRA CENTRAL BRANCH,,ACCRA,,,GH,21683760,,Mo-Fr 08:00-16:30; Sa 08:00-16:00; Su 00:00-24:00,MoneyGram,Q1944412
66412522,moneygram,HFC BANK - LEGON BRANCH,,ACCRA,,,GH,21519152,,Mo-Fr 08:00-16:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
66412603,moneygram,HFC BANK - TEMA BRANCH,,ACCRA,,,GH,22201433,,Mo-Fr 08:00-16:30; Sa 09:30-15:00; Su 00:00-24:00,MoneyGram,Q1944412
66412687,moneygram,HFC BANK - ABOSSEY OKAI BRANCH,,ACCRA,,,GH,21673327,,Mo-Fr 08:00-16:30; Sa 08:00-16:00; Su 00:00-24:00,MoneyGram,Q1944412
66412852,moneygram,HFC BANK - TUDU BRANCH,,ACCRA,,,GH,21666203,,Mo-Fr 08:00-16:30; Sa 09:30-15:00; Su 00:00-24:00,MoneyGram,Q1944412
66412920,moneygram,HFC BANK - BAATSONAA BRANCH,,ACCRA,,,GH,21816603,,Mo-Fr 08:00-16:30; Sa 09:00-14:30; Su 10:00-18:00,MoneyGram,Q1944412
66413026,moneygram,HFC BANK - POST OFFICE BRANCH,,ACCRA,,,GH,21684112,,Mo-Fr 08:00-16:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
66413097,moneygram,HFC BANK - ASHAIMAN BRANCH,,ACCRA,,,GH,22307195,,Mo-Fr 08:00-16:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
66413136,moneygram,HFC BANK - KASOA BRANCH,,KASOA,,,GH,21862722,,Mo-Fr 08:00-16:30; Sa 08:00-16:00; Su 10:00-18:00,MoneyGram,Q1944412
66413194,moneygram,HFC BANK - ADESHIE PLACE BRANCH,,ACCRA,,,GH,21767165,,Mo-Fr 08:00-16:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
