Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68919450,moneygram,ARTHAPOS - #BD - BANDUNG - KPRK BANDUNG,,BANDUNG,,,ID,+62 21 71794849,,Mo-Sa 06:00-22:00; Su 07:00-15:00,MoneyGram,Q1944412
71685014,moneygram,BTN - BANDUNG - BANDUNG,,BANDUNG,,,ID,+62 22 4542876,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685030,moneygram,BTN - BANDUNG - SARIJADI,,BANDUNG,,,ID,+62 22 373145,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685043,moneygram,BTN - BANDUNG - ANTAPANI,,BANDUNG,,,ID,+62 22 4342071,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685056,moneygram,BTN - BANDUNG - PETA,,BANDUNG,,,ID,+62 22 2890203,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685072,moneygram,BTN - BANDUNG - MARGAHAYU RAYA,,BANDUNG,,,ID,+62 22 6038551,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685085,moneygram,BTN - BANDUNG - KOPO MAS,,BANDUNG,,,ID,+62 22 2016286,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685098,moneygram,BTN - BANDUNG - KOPO,,BANDUNG,,,ID,+62 22 7200720,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685108,moneygram,BTN - BANDUNG - SETIABUDI,,BANDUNG,,,ID,+62 22 6124013,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685153,moneygram,BTN - BANDUNG - GATOT SUBROTO EKS. KK KI,,BANDUNG,,,ID,+62 22 5414802,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685182,moneygram,BTN - BANDUNG - CICAHEUM,,BANDUNG,,,ID,+62 22 87770423,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685292,moneygram,BTN - BANDUNG - GEDEBAGE,,BANDUNG,,,ID,+62 22 2533517,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690546,moneygram,BTN - BANDUNG - CIJERAH,,BANDUNG,,,ID,+62 22 4361409,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690559,moneygram,BTN - BANDUNG - PADALARANG,,BANDUNG,,,ID,+62 22 47884470,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691794,moneygram,BTN - BANDUNG - TIMUR,,BANDUNG,,,ID,+62 22 7526814,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691820,moneygram,BTN - BANDUNG - RANCAEKEK,,BANDUNG,,,ID,+62 22 5675737,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692214,moneygram,BTN - BANDUNG - BANDUNG SURAPATI CORE,,BANDUNG,,,ID,+62 22 53653108,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71693048,moneygram,BTN - BANDUNG - DAARUT TAUHIID,,BANDUNG,,,ID,+62 22 9106655,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685234,moneygram,BTN - BANDUNG - DAGO,,BANDUNG,,,ID,+62 22 7272594,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685111,moneygram,BTN - BANDUNG - UNPAD,,BANDUNG,,,ID,+62 22 7322184,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685302,moneygram,BTN - BANDUNG - ITB BANDUNG,,BANDUNG,,,ID,+62 22 2038319,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692230,moneygram,BTN - BANDUNG - MOH. TOHA EX. KOPO BANDU,,BANDUNG,,,ID,+62 22 85914537,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685218,moneygram,BTN - BANDUNG - SURAPATI,,BANDUNG,,,ID,+62 22 7533526,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685069,moneygram,BTN - BANDUNG - BUAH BATU,,BANDUNG,,,ID,+62 22 4232112,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685124,moneygram,BTN - BANDUNG - BOJONG SOANG,,BANDUNG,,,ID,+62 22 7562653,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685247,moneygram,BTN - BANDUNG - CIHAMPELAS,,BANDUNG,,,ID,+62 22 5207245,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692243,moneygram,BTN - BANDUNG - ANTAPANI BANDUNG,,BANDUNG,,,ID,+62 22 2310490,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692201,moneygram,BTN - BANDUNG - BANDUNG DIPONEGORO,,BANDUNG,,,ID,+62 22 31904800,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691804,moneygram,BTN - BANDUNG - UJUNG BERUNG,,BANDUNG,,,ID,+62 22 7451197,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
