Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66865137,moneygram,BOC - #31516 - HUBSY SHIYAN  SUB-BR,,SHIYAN,,,CN,+86 719 866 5851,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66865506,moneygram,BOC - #11970 - HUBSY CHEZHANLU SUB-BR,,SHIYAN,,,CN,+86 719 869 5041,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66865881,moneygram,BOC - #11950 - HUBYC XILING SUB-BR,,YICHANG,,,CN,+86 717 609 2110,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66866819,moneygram,BOC - #11969 - HUBSY DONGYUELU SUB-BR,,SHIYAN,,,CN,+86 719 863 2229,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66866822,moneygram,BOC - #11971 - HUBSY CHECHENG SUB-BR,,SHIYAN,,,CN,+86 719 863 2607,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66866835,moneygram,BOC - #11974 - HUBSY CHAOYANG SUB-BR,,SHIYAN,,,CN,+86 719 865 2433,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66866848,moneygram,BOC - #11975 - HUBSY MAOJIAN SUB-BR,,SHIYAN,,,CN,+86 719 889 6449,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66868257,moneygram,BOC - #11973 - HUBSY LIUYAN SUB-BR,,SHIYAN,,,CN,+86 719 865 4019,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66867591,moneygram,BOC - #11937 - HUBYC  YANGCHA ROAD SUB-B,,YICHANG,,,CN,+86 717 635 4387,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66868927,moneygram,BOC - #11972 - HUBSY DONGFENG SUB-BR,,SHIYAN,,,CN,+86 719 865 3299,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66868244,moneygram,BOC - #11968 - HUBSY ZHANGWAN SUB-BR,,SHIYAN,,,CN,+86 719 867 0848,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66868260,moneygram,BOC - #11977 - HUBSY SANYAN SUB-BR,,SHIYAN,,,CN,+86 719 888 6472,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
