Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68450948,moneygram,GTB - ACCRA,,ACCRA,,,GH,+233 28 967 7578,,Mo-Fr 08:00-21:00; Sa 09:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
67109465,moneygram,ZENITH BANK GHANA LTD. - CAPE COAST,,CAPE COAST,,,GH,33212135669,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109452,moneygram,ZENITH BANK GHANA LTD. - EAST LEGON,,ACCRA,,,GH,+233 30 252 2171,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109287,moneygram,ZENITH BANK GHANA LTD. - KUMASI MAIN,,KUMASI,,,GH,+233 32 208 3281,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109290,moneygram,ZENITH BANK GHANA LTD. - SPINTEX ROAD,,ACCRA,,,GH,+233 30 281 5592,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109300,moneygram,ZENITH BANK GHANA LTD. - NORTH INDUSTRIA,,ACCRA,,,GH,+233 30 225 5155,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109342,moneygram,ZENITH BANK GHANA LTD. - SUAME,,KUMASI,,,GH,+233 32 204 6122,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109339,moneygram,ZENITH BANK GHANA LTD. - TEMA INDUSTRIAL,,TEMA,,,GH,30710513,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109371,moneygram,ZENITH BANK GHANA LTD. - LABONE,,ACCRA,,,GH,+233 30 278 4183,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109368,moneygram,ZENITH BANK GHANA LTD. - PATRICE LUMUMBA,,ACCRA,,,GH,+233 30 277 4047,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109355,moneygram,ZENITH BANK GHANA LTD. - HO POLYTECHNIC,,HO,,,GH,+233 36 202 5483,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109397,moneygram,ZENITH BANK GHANA LTD. - TEMA COMMUNITY,,TEMA,,,GH,+233 30 320 1243,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109407,moneygram,ZENITH BANK GHANA LTD. - TAKORADI MARKE,,TAKORADI,,,GH,31221124,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109410,moneygram,ZENITH BANK GHANA LTD. - KOJO THOMPSON R,,ACCRA,,,GH,+233 30 267 9812,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109423,moneygram,ZENITH BANK GHANA LTD. - GRAPHIC ROAD,,ACCRA,,,GH,+233 30 225 3382,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109436,moneygram,ZENITH BANK GHANA LTD. - ADUM,,KUMASI,,,GH,+233 32 204 9510,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109449,moneygram,ZENITH BANK GHANA LTD. - TAMALE,,TAMALE,,,GH,+233 37 202 7420,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109478,moneygram,ZENITH BANK GHANA LTD. - SUNYANI,,SUNYANI,,,GH,+233 35 202 5888,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109481,moneygram,ZENITH BANK GHANA LTD. - ACHIMOTA,,ACCRA,,,GH,30720174,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109517,moneygram,ZENITH BANK GHANA LTD. - KOTOKA INTL AIR,,ACCRA,,,GH,30726193,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109504,moneygram,ZENITH BANK GHANA LTD. - KANTAMANTO AGEN,,ACCRA,,,GH,302289516792,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
67109384,moneygram,ZENITH BANK GHANA LTD. - KUMASI POLYTECH,,KUMASI,,,GH,+233 32 204 8249,,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
