Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72673258,moneygram,BANK OF ABYSSINIA - COLONEL BEZABIH BRAN,,HOSSAINA,,,ET,+251 11 518 3999,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72821194,moneygram,BANK OF ABYSSINIA - EMDEBER BRANCH,,EMDEBERA,,,ET,+251 11 126 3383,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72865053,moneygram,BANK OF ABYSSINIA - DENBOYA BRANCH,,DENBOYA,,,ET,462440443,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72864915,moneygram,BANK OF ABYSSINIA - GIDOLE BRANCH,,GIDOLE,,,ET,462121710,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73899387,moneygram,BANK OF ABYSSINIA - BODITI BRANCH,,BODIT,,,ET,+251 46 335 1285,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73899206,moneygram,BANK OF ABYSSINIA - NIGIST ELENI BRANCH,,HOSSANA,,,ET,462121349,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73899196,moneygram,BANK OF ABYSSINIA - SANKURA BRANCH,,`ALEM GEBEYA,,,ET,+251 11 126 3092,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73970044,moneygram,BANK OF ABYSSINIA - SAWLA BRANCH,,SAWLA,,,ET,462121710,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74067354,moneygram,ABAY BANK S C - #345 - HAWASA MENEHARIYA,,HAWASSA,,,ET,255862145,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74067367,moneygram,ABAY BANK S C - #346 - SHINSHICHO BRANCH,,SHINSHICHO,,,ET,226351492,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74067383,moneygram,ABAY BANK S C - #348 - BUTAJIRA BRANCH,,BUTAJIRA,,,ET,113654165,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74290723,moneygram,BANK OF ABYSSINIA - AMEYA BRANCH,,AMEYA,,,ET,472111129,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74290642,moneygram,BANK OF ABYSSINIA - BULKI SUB BRANCH,,BULKI,,,ET,462121349,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74412983,moneygram,BANK OF ABYSSINIA - GUBRE BRANCH,,WOLKITE,,,ET,+251 11 126 3092,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74412857,moneygram,BANK OF ABYSSINIA - SHEY BENCH BRANCH,,SIZ,,,ET,462121710,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74443981,moneygram,BANK OF ABYSSINIA - ABAYA BRANCH,,ARBA MICH,,,ET,462121330,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74443936,moneygram,BANK OF ABYSSINIA - ADAYA BRANCH,,ARBA MICH,,,ET,462121710,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74443965,moneygram,BANK OF ABYSSINIA - DEBUB BENCH SUB BR,,DEBEREWORK,,,ET,472111129,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74443952,moneygram,BANK OF ABYSSINIA - JEMU SUB BRANCH,,JEMU,,,ET,472113304,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74542073,moneygram,BANK OF ABYSSINIA - DUMBE BRANCH,,DUMBE,,,ET,462121349,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74542015,moneygram,BANK OF ABYSSINIA - TARCHA BRANCH,,TARCHA,,,ET,462121710,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74550337,moneygram,ABAY BANK S.C - #394 - KUJA BRANCH,,KUJA,,,ET,111059867,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74818134,moneygram,BANK OF ABYSSINIA - BIFTU - GURAFERDA BR,,BIFTU,,,ET,472111129,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74818121,moneygram,BANK OF ABYSSINIA - BITA GENET - BITA BR,,BITA GENET,,,ET,472113304,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72673546,moneygram,BANK OF ABYSSINIA - ADIKENTIBAY BRANCH,,SHIRE ENDESELASSIE,,,ET,+251 34 441 8739,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73899358,moneygram,BANK OF ABYSSINIA - HOSSAENA ARADA BRANC,,HOSSAENA,,,ET,462122346,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
