Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72379963,moneygram,DIAMOND BANK PLC - #182 - WARRI - UDU WA,,WARRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380282,moneygram,DIAMOND BANK PLC - #215 - UGHELLI - UGHE,,UGHELLI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379785,moneygram,DIAMOND BANK PLC - AGBOR OLD LAGOS ASABA,,AGBOR,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379073,moneygram,DIAMOND BANK PLC - DAMATURU,,DAMATURU,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378210,moneygram,DIAMOND BANK PLC - WARRI,,WARRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379659,moneygram,DIAMOND BANK PLC - WARRI OKUMAGBA AVENUE,,WARRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380415,moneygram,DIAMOND BANK PLC - WARRI RETAIL SHOP,,WARRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626085,moneygram,ACCESS BANK PLC - AGBOR OLD LAGOS ASABA,,AGBOR,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625374,moneygram,ACCESS BANK PLC - DAMATURU,,DAMATURU,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626580,moneygram,ACCESS BANK PLC - UGHELLI - UGHELLI,,UGHELLI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72624511,moneygram,ACCESS BANK PLC - WARRI,,WARRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626263,moneygram,ACCESS BANK PLC - WARRI - UDU WARRI,,WARRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625950,moneygram,ACCESS BANK PLC - WARRI OKUMAGBA AVENUE,,WARRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626713,moneygram,ACCESS BANK PLC - WARRI RETAIL SHOP,,WARRI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
