Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72015670,moneygram,BANK OF ABYSSINIA - DESSIE - WELLO BAHL,,DESSIE,,,ET,333112733,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72015625,moneygram,BANK OF ABYSSINIA - HAYK' - HAYK ESTIFAN,,HAYK',,,ET,+251 33 222 1197,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72015641,moneygram,BANK OF ABYSSINIA - KEMISIE - KEMISIE BR,,KEMISIE,,,ET,+251 33 554 2089,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72015476,moneygram,BANK OF ABYSSINIA - MERSA - MERSA BRANCH,,MERSA,,,ET,+251 33 333 1028,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72261136,moneygram,BANK OF ABYSSINIA - LALIBELA - LALIBELA,,LALIBELA,,,ET,+251 33 336 1228,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72404883,moneygram,ABAY BANK S C - #320 - MEKDELLA - MEKDEL,,MEKDELLA,,,ET,333450059,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
72472271,moneygram,ABAY BANK S C - #412 - AJIBAR - AJIBAR,,AJIBAR,,,ET,334410544,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
72681143,moneygram,BANK OF ABYSSINIA - SEMERA BRANCH,,SEMERA,,,ET,333660169,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72683390,moneygram,BERHAN INTERNATIONAL BANK - GISHABAY BRA,,GISH ABAY,,,ET,331606289,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72880407,moneygram,ABAY BANK S C - #7 - DESSIE - MERHABA,,DESSIE,,,ET,333129667,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
72887581,moneygram,ABAY BANK S C - #421 - ESTAYISH - ESTAYI,,ESTAYISH,,,ET,332412587,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
72934984,moneygram,ABAY BANK S C - #422 - WOYINAMBA - WOYIN,,WOYINAMBA,,,ET,332412036,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
73127253,moneygram,ABAY BANK S C - #429 - KUTABER,,KUTA BER,,,ET,331841356,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
73301215,moneygram,BERHAN INTERNATIONAL BANK - JEMMO MICHAE,,ADDIS ABABA,,,ET,111606289,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73801508,moneygram,ABAY BANK S C - #453 - DAWUDO,,DESSIE,,,ET,331329130,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
73801498,moneygram,ABAY BANK S C - #454 - TOSSA,,DESSIE,,,ET,331258877,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
73903228,moneygram,ABAY BANK S C - #460 - MENAFESHA-DESSIE,,DESSIE,,,ET,333126447,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74067082,moneygram,BANK OF ABYSSINIA - SENGO GEBEYA BRANCH,,DESSIE,,,ET,333122665,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74144581,moneygram,ABAY BANK S C - #478 - GERBA BRANCH,,GERBA,,,ET,117545669,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74313736,moneygram,ABAY BANK S C - #483 - SALMENE BRANCH,,SALMENE,,,ET,331267476,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74313723,moneygram,ABAY BANK S C - #485 - TULU AWLIYA BRANC,,GIMBA,,,ET,339416457,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74313765,moneygram,ABAY BANK S C - #486 - GUZARA BRANCH,,GONDAR,,,ET,336574453,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74431760,moneygram,ABAY BANK S.C - #496 - ROBIT BRANCH,,ROBIT,,,ET,252372797,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74464630,moneygram,ABAY BANK S.C - #388 - KOTU BRANCH,,KOTU,,,ET,734423441,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74464643,moneygram,ABAY BANK S.C - #A-04 - GOBIYE BRANCH,,GOBIYE,,,ET,319253301,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74467514,moneygram,BANK OF ABYSSINIA - KALAKORMA BRANCH,,ROBIT RAYAKOBO,,,ET,333122665,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74552458,moneygram,ABAY BANK S.C - #396 - TULEFA BRANCH,,TULEFA,,,ET,033007526,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74576638,moneygram,ABAY BANK S.C - #A21 - MEZEZO BRANCH,,MEZEZO,,,ET,133806557,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74615094,moneygram,ABAY BANK S.C - #397 - TARMA BER BRANCH,,TARMA BER,,,ET,146907950,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74637661,moneygram,ABAY BANK S.C - #A24 - SANKA BRANCH,,SANKA,,,ET,453160365,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74955288,moneygram,BANK OF ABYSSINIA - WOLDIA - AL-FARUK BR,,WOLDIA,,,ET,+251 33 331 0833,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74955291,moneygram,BANK OF ABYSSINIA - MEKANE SELAM - AMEJA,,MEKANE SELAM,,,ET,+251 33 220 0232,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74954865,moneygram,ABAY BANK SC - #29 - ABAY SEDIK WOLDIA B,,WOLDIA,,,ET,144352560,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
