Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
73721963,moneygram,ZENITH BANK PLC - #ADETOKUBO ADEMOLA2 -,,ABUJA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73721992,moneygram,ZENITH BANK PLC - #AKINTOLA BOULEVARD -,,ABUJA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722027,moneygram,ZENITH BANK PLC - #ANKPA - LOKOJA - ANKP,,LOKOJA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722137,moneygram,ZENITH BANK PLC - #ANNEX3 - LAGOS - ANNE,,LAGOS,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722140,moneygram,ZENITH BANK PLC - #ANNEX4 - LAGOS - ANNE,,LAGOS,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722072,moneygram,ZENITH BANK PLC - #BAZE UNIVERSITY - ABU,,ABUJA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722108,moneygram,ZENITH BANK PLC - #GATEWAY MALL - ABUJA,,ABUJA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722179,moneygram,ZENITH BANK PLC - #GUDU - ABUJA - GUDU,,ABUJA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722056,moneygram,ZENITH BANK PLC - #GWARIMPA2 - ABUJA - G,,ABUJA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722153,moneygram,ZENITH BANK PLC - #ICT(ASABA) - DELTA -,,DELTA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722043,moneygram,ZENITH BANK PLC - #IMMIGRATION - ABUJA -,,ABUJA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722085,moneygram,ZENITH BANK PLC - #ISAAC JOHN STREET - L,,LAGOS,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722014,moneygram,ZENITH BANK PLC - #JALINGO2 - TARABA - J,,TARABA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722069,moneygram,ZENITH BANK PLC - #KADUNA 4 - KADUNA - K,,KADUNA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722030,moneygram,ZENITH BANK PLC - #KADUNA5 - KADUNA - KA,,KADUNA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722111,moneygram,ZENITH BANK PLC - #MARARABA2 - ABUJA - M,,ABUJA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73721950,moneygram,ZENITH BANK PLC - #MOUNTAIN TOP UNIVERSI,,OGUN,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 03:00-04:00,MoneyGram,Q1944412
73722124,moneygram,ZENITH BANK PLC - #TEJUOSHO MARKET - LAG,,LAGOS,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73721989,moneygram,ZENITH BANK PLC - #UNIPORT - ABUJA - UNI,,ABUJA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722166,moneygram,ZENITH BANK PLC - #UNIVERSITY OF ABUJA -,,ABUJA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
73722098,moneygram,ZENITH BANK PLC - #YOLA3 - YOLA - YOLA3,,YOLA,,,NG,+234 1 278 4236,,Mo-Fr 08:00-16:00; Sa-Su 08:00-09:00,MoneyGram,Q1944412
