City,Place Name,Zipcode,Name
"Paras, Candon",caltex,,unknown,Caltex Paras
unknown,caltex,,unknown,Caltex Tagudin
Vigan,mcdonalds_ph,P. BURGOS COR. JACINTO STS. VIGAN ILOCOS SUR,unknown,VIGAN
Candon,mcdonalds_ph,ALONG NATIONAL HI-WAY POBLACION CANDON ILOCOS SUR,unknown,CANDON
SAN NICOLAS,shell,,unknown,SH MCARTHUR SAN NICOLAS
CABUGAO,shell,,unknown,SH CABUGAO ILOCOS SUR 2
SAN JUAN,shell,,unknown,SH SAN JUAN ILOCOS SUR
MAGSINGAL,shell,,unknown,SH MAGSINGAL ILOCOS SUR
SANTO DOMINGO,shell,,unknown,SH STO DOMINGO ILOCOS SUR
SAN ILDEFONSO,shell,,unknown,SH SAN ILDEFONSO ILCS SUR
BANTAY,shell,,unknown,SH BANTAY ILOCOS
SANTA,shell,,unknown,SH SANTA ILOCOS SUR
NARVACAN,shell,,unknown,SH MARGAAY NARVACAN ILOCOS SUR
SANTA MARIA,shell,,unknown,SH STA MARIA ILOCOS SUR
CANDON,shell,,unknown,SH CANDON ILOCOS SUR
CANDON CITY,shell,,unknown,SH SAN JOSE CANDON ILOCOS SUR
SANTA LUCIA,shell,,unknown,SH STA LUCIA ILOCOS SUR
TAGUDIN,shell,,unknown,SH TAGUDIN ILOCOS SUR
CABUGAO,visa,,unknown,unknown
TAGUDIN,visa,,unknown,unknown
CANDON,visa,,unknown,unknown
SANTA LUCIA,visa,,unknown,unknown
VIGAN CITY,visa,,unknown,unknown
VIGAN,visa,,unknown,unknown
STO. DOMINGO,visa,,unknown,unknown
NARVACAN,visa,,unknown,unknown
STA. MARIA,visa,,unknown,unknown
CANDON CITY,visa,,unknown,unknown
Vigan,western_union,,unknown,PFSI VIGAN CITY-BONIFACIO ST. PREMIUM
Tagudin,western_union,,unknown,CARATLINK PAWNSHOP   TAGUDIN
Vigan City,western_union,,unknown,EBIZ GALLERIA DE VIGAN
Bantay,western_union,,unknown,MLI BANTAY ILOCOS SUR
Santo Domingo,western_union,,unknown,PFSI ILOCOS SUR- STO. DOMINGO
San Vicente,western_union,,unknown,CLH SAN VICENTE I.S
Caoayan,western_union,,unknown,RCPI
San Ildefonso,western_union,,unknown,RURAL BANK OF CABUGAO INC SN ILDEFONSO
Candon,western_union,,unknown,PFSI CANDON CITY-NATIONAL HIGHWAY
Magsingal,western_union,,unknown,MLI MAGSINGAL ILOCOS SUR
Sta. Lucia,western_union,,unknown,BDO Network Bank -  Ilocos sur-Sta. luci
Santa Lucia,western_union,,unknown,CLH STA  LUCIA
Sta Cruz,western_union,,unknown,RANG AY BANK INC STA CRUZ
Sta Lucia,western_union,,unknown,SAINT LUCY MULTI PURPOSE COOPE
Santa Cruz,western_union,,unknown,STA. CRUZ SAVINGS & DEV'T COOP.-MAIN BR
Sta. Cruz,western_union,,unknown,PALAWAN PAWNSHOP-STA. CRUZ
Sto. Domingo,western_union,,unknown,BDO Network Bank - Ilocos Sur-Sto. Domin
Sto Domingo,western_union,,unknown,TAMBUNTING-STO. DOMINGO
Santiago,western_union,,unknown,CLH SANTIAGO I S
Sinait,western_union,,unknown,PETNET SINAIT
Cabugao,western_union,,unknown,CLH CABUGAO
Santa,western_union,,unknown,PRUDENTGOLD PAWNSHOP  SANTA
Narvacan,western_union,,unknown,BDO ILOCOS SUR  NARVACAN
Banayoyo,western_union,,unknown,PFSI ILOCOS SUR-BANAYOYO
San Juan,western_union,,unknown,CLH SAN JUAN IS
San Esteban,western_union,,unknown,RCPI
Cagayan,western_union,,unknown,CLH BANTAY
Sta Maria,western_union,,unknown,MLI STA MARIA ILOCOS SUR
Santa Maria,western_union,,unknown,DOFREDO ELECTRONIC ELEC AND G
Sta. Maria,western_union,,unknown,PALAWAN PAWNSHOP-STA. MARIA
Alilem,western_union,,unknown,ALILEM MULTI PURPOSE COOP
Salcedo,western_union,,unknown,CLH SALCEDO IS
Burgos,western_union,,unknown,RANG AY BANK INC BURGOS
Cervantes,western_union,,unknown,TREASURE LINK COOP SOCIETY-CERVANTES
Quirino,western_union,,unknown,ERLIN S MINI GROCERY AND REMITTANCE
