Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74280021,moneygram,BOC - #59202 - XI'AN - XI'AN QU JIANG DA,,XI'AN,,,CN,+86 29 8411 9556,,Mo-Fr 09:00-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66840123,moneygram,BOC - #16142 - SAXXA DIANSHITA SUB-BR,,XIAN,,,CN,+86 29 8524 9861,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840136,moneygram,BOC - #16383 - SAXXA CHANGANLU SUB-BR,,XIAN,,,CN,+86 29 8789 5419,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840152,moneygram,BOC - #16181 - SAXXA SHIDALULU SUB-BR,,XIAN,,,CN,+86 29 8523 9545,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841135,moneygram,BOC - #16140 - SAXXA CUIHUA SUB-BR,,XIAN,,,CN,+86 29 8523 6106,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841148,moneygram,BOC - #16144 - SAXXA WENYILU SUB-BR,,XIAN,,,CN,+86 29 8788 7995,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840291,moneygram,BOC - #16102 - SAXXA XIAOZHAIWLU SUB-BR,,XIAN,,,CN,+86 29 8524 6641,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840301,moneygram,BOC - #16188 - SAXXA XIYINGLULU SUB-BR,,XIAN,,,CN,+86 29 8551 6255,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841177,moneygram,BOC - #16148 - SAXXA XIYAN SUB-BR,,XIAN,,,CN,+86 29 8225 9359,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841151,moneygram,BOC - #16143 - SAXXA YANNANYILU SUB-BR,,XIAN,,,CN,+86 29 8549 8290,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841229,moneygram,BOC - #16195 - SAXXA ELECTRONICJIE SUB-B,,XIAN,,,CN,+86 29 8821 8476,,Mo-Fr 09:00-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841517,moneygram,BOC - #16124 - SAXXA JINGJIULU SUB-BR,,XIAN,,,CN,+86 29 8234 5168,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841546,moneygram,BOC - #16174 - SAXXA SIJIDONGLU SUB-BR,,XIAN,,,CN,+86 29 8822 4704,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
