Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
61884230b49bbd6b39252c391571fb90,western_union,AFRICAN BANKING CORP ZVISHAVANE KIOSK,,Zvhishavane,MASHONALAND CENTRAL,,ZW,+263 39 2352798,https://location.westernunion.com/zw/mashonaland-central/zvhishavane/61884230b49bbd6b39252c391571fb90,Mo-Su 08:00-20:00,Western Union,Q861042
3fae3f92bf22eb7fa336f67569f720c7,western_union,AGRIBANK ZW MT DARWIN,,Mt Darwin,MASHONALAND CENTRAL,,ZW,+263 276 3183,https://location.westernunion.com/zw/mashonaland-central/mt-darwin/3fae3f92bf22eb7fa336f67569f720c7,Mo-Fr 08:00-15:00; Sa 08:00-11:30,Western Union,Q861042
325f42ac22c7959caa57cb3af00bc429,western_union,AGRIBANK ZW GURUVE,,Guruve,MASHONALAND CENTRAL,,ZW,+263 58 2510,https://location.westernunion.com/zw/mashonaland-central/guruve/325f42ac22c7959caa57cb3af00bc429,Mo-Fr 08:00-15:00; Sa 08:00-11:30,Western Union,Q861042
7a337d872884007b9a962ceee80e5bdc,western_union,CBZ BANK ZIMBABWE MVURWI BRANCH,,Mvurwi,MASHONALAND CENTRAL,,ZW,(+263) 662-2992,https://location.westernunion.com/zw/mashonaland-central/mvurwi/7a337d872884007b9a962ceee80e5bdc,Mo-Fr 08:00-17:00; Sa 08:00-13:30,Western Union,Q861042
7c0b68c9e62f554f96a6b5136f894bad,western_union,AGRIBANK ZW MVURWI,,Mvurwi,MASHONALAND CENTRAL,,ZW,+263 277 2365,https://location.westernunion.com/zw/mashonaland-central/mvurwi/7c0b68c9e62f554f96a6b5136f894bad,Mo-Fr 08:00-15:00; Sa 08:00-11:30,Western Union,Q861042
7f4b50b952c4df7f6d28a70bd76f4870,western_union,POSB BINDURA,,Bindura,MASHONALAND CENTRAL,,ZW,+263 271 7939,https://location.westernunion.com/zw/mashonaland-central/bindura/7f4b50b952c4df7f6d28a70bd76f4870,Mo-Fr 07:00-16:30; Sa 07:00-13:30,Western Union,Q861042
a0a5461969ae50414495f1f32d75f91d,western_union,POSB BINDURA,,Bindura,MASHONALAND CENTRAL,,ZW,+263 271 7939,https://location.westernunion.com/zw/mashonaland-central/bindura/a0a5461969ae50414495f1f32d75f91d,Mo-Fr 07:00-16:30; Sa 07:00-13:30,Western Union,Q861042
5c1e831441830f79ea3a4f36030a1f1f,western_union,BINDURA FCB ZIMBABWE,,Bindura,MASHONALAND CENTRAL,,ZW,(+263) 716255,https://location.westernunion.com/zw/mashonaland-central/bindura/5c1e831441830f79ea3a4f36030a1f1f,Mo-Fr 08:00-15:00; Sa 08:00-11:30,Western Union,Q861042
141c0b9bd81d2225d73a429f8c669c07,western_union,AFRICAN BANKING CORP BINDURA BRANCH,,Bindura,MASHONALAND CENTRAL,,ZW,+263 271 6721,https://location.westernunion.com/zw/mashonaland-central/bindura/141c0b9bd81d2225d73a429f8c669c07,Mo-Fr 08:00-16:30; Sa 08:00-15:30,Western Union,Q861042
c0a2036de25245bfb0af1ec2010e118b,western_union,BINDURA KIOSK,,Bindura,MASHONALAND CENTRAL,,ZW,(+263) 6841-66210,https://location.westernunion.com/zw/mashonaland-central/bindura/c0a2036de25245bfb0af1ec2010e118b,Mo-Fr 08:00-15:00; Sa 08:00-11:30,Western Union,Q861042
f0ab87390fd3a8f3baa527581406040b,western_union,BINDURA KIOSK,,Bindura,MASHONALAND CENTRAL,,ZW,(+263) 6841-66210,https://location.westernunion.com/zw/mashonaland-central/bindura/f0ab87390fd3a8f3baa527581406040b,Mo-Fr 08:00-15:00; Sa 08:00-11:30,Western Union,Q861042
f9c465602c1e29615c06800a0e08826c,western_union,CABS BINDURA,,Bindura,MASHONALAND CENTRAL,,ZW,(+263) 66-210654321,https://location.westernunion.com/zw/mashonaland-central/bindura/f9c465602c1e29615c06800a0e08826c,Mo-Fr 08:00-17:00; Sa 08:00-12:00,Western Union,Q861042
908ef25d1068cef56325b139e2b464a8,western_union,AGRIBANK ZW BINDURA,,Bindura,MASHONALAND CENTRAL,,ZW,+263 271 7143,https://location.westernunion.com/zw/mashonaland-central/bindura/908ef25d1068cef56325b139e2b464a8,Mo-Fr 08:00-15:00; Sa 08:00-11:30,Western Union,Q861042
