City,Place Name,Zipcode,Name
Wolfsburg,adidas,,unknown,"adidas Outlet Store Wolfsburg, Designer Outlets"
Langenhagen,alamo,,unknown,Hannover Airport
Braunschweig,gamestop_de,,unknown,Braunschweig Schloss-Arkaden
Hannover,gamestop_de,,unknown,Hannover Ernst-August-Galerie
Wilhelmshaven,gamestop_de,,unknown,Wilhelmshaven Nordsee Passage
unknown,hilton,77er Strasse 1 29221 Celle Germany,unknown,Hampton by Hilton Celle
Wolfsburg,media_markt_de,,unknown,MediaMarkt Wolfsburg
Isernhagen,media_markt_de,,unknown,MediaMarkt Isernhagen
Leer,media_markt_de,,unknown,MediaMarkt Leer
Delmenhorst,media_markt_de,,unknown,MediaMarkt Delmenhorst
Gifhorn,media_markt_de,,unknown,MediaMarkt Gifhorn
Salzgitter,media_markt_de,,unknown,MediaMarkt Salzgitter
Stadthagen,media_markt_de,,unknown,MediaMarkt Stadthagen
Wilhelmshaven,media_markt_de,,unknown,MediaMarkt Wilhelmshaven
Buchholz in der Nordheide,media_markt_de,,unknown,MediaMarkt Buchholz in der Nordheide
Holzminden,media_markt_de,,unknown,MediaMarkt Holzminden
Papenburg,media_markt_de,,unknown,MediaMarkt Papenburg
Stade,media_markt_de,,unknown,MediaMarkt Stade
Emden,media_markt_de,,unknown,MediaMarkt Emden
Peine,media_markt_de,,unknown,MediaMarkt Peine
Nienburg,media_markt_de,,unknown,MediaMarkt Nienburg
Lingen,media_markt_de,,unknown,MediaMarkt Lingen
Buxtehude,media_markt_de,,unknown,MediaMarkt Buxtehude
Goslar,media_markt_de,,unknown,MediaMarkt Goslar
Hannover,media_markt_de,,unknown,MediaMarkt Hannover-Vahrenheide
Stuhr,media_markt_de,,unknown,MediaMarkt Stuhr
Oldenburg,media_markt_de,,unknown,MediaMarkt Oldenburg
Nordhorn,media_markt_de,,unknown,MediaMarkt Nordhorn
Hameln,media_markt_de,,unknown,MediaMarkt Hameln
Göttingen,media_markt_de,,unknown,MediaMarkt Göttingen
Lüneburg,media_markt_de,,unknown,MediaMarkt Lüneburg
Schiffdorf,media_markt_de,,unknown,MediaMarkt Bremerhaven Schiffdorf-Spaden
Hildesheim,media_markt_de,,unknown,MediaMarkt Hildesheim
Belm,media_markt_de,,unknown,MediaMarkt Belm-Osnabrück
Braunschweig,media_markt_de,,unknown,MediaMarkt Braunschweig
Langenhagen,national,,unknown,Hannover Airport
Celle,saturn_de,,unknown,Saturn Celle
Braunschweig,saturn_de,,unknown,Saturn Braunschweig
Osnabrück,saturn_de,,unknown,Saturn Osnabrück
Oldenburg,saturn_de,,unknown,Saturn Oldenburg
Hannover,saturn_de,,unknown,Saturn Hannover
Wolfsburg,subway,,unknown,Subway
Zeven,subway,,unknown,Subway
Wolfenbuettel,subway,,unknown,Subway
Winsen -Luhe,subway,,unknown,Subway
Wilhelmshaven,subway,,unknown,Subway
Weyhe,subway,,unknown,Subway
Verden,subway,,unknown,Subway
Walsrode,subway,,unknown,Subway
Vechta,subway,,unknown,Subway
Varel,subway,,unknown,Subway
Uelzen,subway,,unknown,Subway
Syke,subway,,unknown,Subway
Stuhr,subway,,unknown,Subway
Stadthagen,subway,,unknown,Subway
Soltau,subway,,unknown,Subway
Stade,subway,,unknown,Subway
Rotenburg,subway,,unknown,Subway
Osterholz-Scharmbeck,subway,,unknown,Subway
Osnabrueck,subway,,unknown,Subway
Oldenburg,subway,,unknown,Subway
Nordhorn,subway,,unknown,Subway Ice Cream
Osnabrück,subway,,unknown,Subway
Nienburg,subway,,unknown,Subway
Neustadt,subway,,unknown,Subway
Lutterberg,subway,,unknown,Subway Total Gas Station/C-Store
Lueneburg,subway,,unknown,Subway
Leer,subway,,unknown,Subway
Lehrte,subway,,unknown,Subway
Lohne,subway,,unknown,Subway
Jever,subway,,unknown,Subway
Laatzen/Gleidingen,subway,,unknown,Subway Shell Gas Station/C-Store
Hildesheim,subway,,unknown,Subway
Hannover,subway,,unknown,Subway
Holdorf,subway,,unknown,Subway
Hameln,subway,,unknown,Subway
Gyhum-Bockel,subway,,unknown,Subway
Göttingen,subway,,unknown,Subway
Goslar,subway,,unknown,Subway
Gifhorn,subway,,unknown,Subway
Goettingen,subway,,unknown,Subway
Emden,subway,,unknown,Subway
Georgsmarienhuette,subway,,unknown,Subway
Duderstadt,subway,,unknown,Subway
Cuxhaven,subway,,unknown,Subway
Damme,subway,,unknown,Subway
Garbsen,subway,,unknown,Subway
Delmenhorst,subway,,unknown,Subway
Cloppenburg,subway,,unknown,Subway
Celle,subway,,unknown,Subway
Buchholz,subway,,unknown,Subway
Braunschweig,subway,,unknown,Subway
Bremen,subway,,unknown,Subway
Bottrop,subway,,unknown,Subway
Aurich,subway,,unknown,Subway
Bispingen,subway,,unknown,Subway
Achim,subway,,unknown,Subway
Hameln,western_union,,unknown,JUWELIER PERLE
Hannover,western_union,,unknown,HAVAL KIOSK
Hessisch Oldendorf,western_union,,unknown,VALENTINOS KIOSK
Rinteln,western_union,,unknown,KIOSK AM MARKTPLATZ
