Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
458967,bash_za,"Jet Home THE DUNES MALL, WALVIS BAY",,WALVIS BAY,NAMIBIA,,ZA,,"https://bash.com/store/jet-home-the-dunes-mall,-walvis-bay-10020/458967",Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
000343,bash_za,Foschini MAERUA MALL WINDHOEK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/foschini-maerua-mall-windhoek-10020/000343,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
020702,bash_za,MARKHAM WINDHOEK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/markham-windhoek-10020/020702,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
064231,bash_za,Sportscene WALVIS BAY DUNES MALL,,WALVIS BAY,NAMIBIA,,ZA,,https://bash.com/store/sportscene-walvis-bay-dunes-mall-10020/064231,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
066929,bash_za,Totalsports WALVIS BAY DUNES MALL,,WALVIS BAY,NAMIBIA,,ZA,,https://bash.com/store/totalsports-walvis-bay-dunes-mall-10020/066929,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
035742,bash_za,Exact WERNHIL PARK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/exact-wernhil-park-10020/035742,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
020708,bash_za,MK WERNHIL PARK WERNHIL PARK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/mk-wernhil-park-wernhil-park-10020/020708,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
060503,bash_za,Totalsports WINDHOEK GROVE WINDHOEK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/totalsports-windhoek-grove-windhoek-10020/060503,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
020701,bash_za,MARKHAM WALVIS BAY,,WALVIS BAY,NAMIBIA,,ZA,,https://bash.com/store/markham-walvis-bay-10020/020701,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
456073,bash_za,Jet WINDHOEK GROVE,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/jet-windhoek-grove-10020/456073,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
335610,bash_za,@home WALVIS BAY DUNES MALL,,WALVIS BAY,NAMIBIA,,ZA,,https://bash.com/store/@home-walvis-bay-dunes-mall-10020/335610,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,@Home,Q116429887
008960,bash_za,SB WERNHIL PARK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/sb-wernhil-park-10020/008960,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,SODA Bloc,Q117406709
015369,bash_za,Sterns MAERUA MALL WINDHOEK NAMIBIA,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/sterns-maerua-mall-windhoek-namibia-10020/015369,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
060933,bash_za,Sportscene WALVIS BAY,,WALVIS BAY,NAMIBIA,,ZA,,https://bash.com/store/sportscene-walvis-bay-10020/060933,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
060599,bash_za,Totalsports WERNHIL PARK WERNHIL PARK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/totalsports-wernhil-park-wernhil-park-10020/060599,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
018833,bash_za,American Swiss Silver Store WINDHOEK THE GROVE NAM,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/american-swiss-silver-store-windhoek-the-grove-nam-10020/018833,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
011937,bash_za,American Swiss WALVIS BAY DUNES MALL NAMIBIA,,WALVIS BAY,NAMIBIA,,ZA,,https://bash.com/store/american-swiss-walvis-bay-dunes-mall-namibia-10020/011937,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
450477,bash_za,Jet WALVIS BAY DUNES MALL,,WALVIS BAY,NAMIBIA,,ZA,,https://bash.com/store/jet-walvis-bay-dunes-mall-10020/450477,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
000414,bash_za,FOSCHINI OSHAKATI,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/foschini-oshakati-10020/000414,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
060223,bash_za,Sportscene WINDHOEK GROVE WINDHOEK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/sportscene-windhoek-grove-windhoek-10020/060223,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
060659,bash_za,Totalsports MAERUA MALL WINDHOEK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/totalsports-maerua-mall-windhoek-10020/060659,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
068661,bash_za,Sportscene WERNHIL PARK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/sportscene-wernhil-park-10020/068661,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
000355,bash_za,Foschini KEETMANSHOOP,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/foschini-keetmanshoop-10020/000355,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
015033,bash_za,Sterns WINDHOEK INDEPENDENCE NAMIBIA,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/sterns-windhoek-independence-namibia-10020/015033,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
015131,bash_za,Sterns WINDHOEK MUTUAL PLATZ NAMIBIA,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/sterns-windhoek-mutual-platz-namibia-10020/015131,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
015182,bash_za,Sterns WALVIS BAY NAMIBIA,,WALVIS BAY,NAMIBIA,,ZA,,https://bash.com/store/sterns-walvis-bay-namibia-10020/015182,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
