City,Place Name,Zipcode,Name
Ghaziabad,adidas,,unknown,"adidas Outlet Store Ghaziabad, 43, Ambedkar Rd, Chaudhary More"
DEORIA,moneygram,,unknown,KUMAR ELECTRONICS
GAUTAM BUDDHA NAGAR,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
VARANASI,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
PRAYAGRAJ,moneygram,,unknown,MAURYA ONLINE SERVICES
BIJNOR,moneygram,,unknown,MANDAWAR ROAD
MAU,moneygram,,unknown,D.K.COMMUNICATION
ALLAHABAD,moneygram,,unknown,M/S YOGESH TELECOM
THIRIYA NIZAWAT KHAN,moneygram,,unknown,MOHAMMAD AZAM
PHOOLPUR,moneygram,,unknown,BEEMA SEWA KENDRA
AZAMGARH,moneygram,,unknown,BHOLANATH SINGH ENTERPRISES
