City,Place Name,Zipcode,Name
Mülheim an der Ruhr,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Mülheim an der Ruhr, Forum - Innenstadt"
Marl,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Marl, Marler Stern"
Haltern am See,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Haltern am See, Rekumer Str. 9"
Oberhausen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Oberhausen, Marktstraße 94"
Goch,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Goch, Voßstraße 10"
Bottrop,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Bottrop, Hochstraße 39"
Kleve,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Kleve, Große Straße 90"
Hattingen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Hattingen, Heggerstraße 23"
Gladbeck,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Gladbeck, Hochstraße 36"
Recklinghausen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Recklinghausen, Palais Vest"
Bochum,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Bochum Innenstadt, Kortumstraße 68"
Herne,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Herne Wanne-Eickel, Hauptstraße 235"
Wesel,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Wesel, Viehtor 20"
Dorsten,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Dorsten, Lippestraße 9"
Bocholt,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Bocholt, Neutorplatz 2-4"
Herten,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Herten, Ewaldstraße 12"
Gelsenkirchen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Gelsenkirchen Buer, Hochstraße 5"
