City,Place Name,Zipcode,Name
unknown,aldi_sud_ie,,unknown,"ALDI Chapel Lane, Callan"
unknown,allied_irish_banks_ie,,unknown,AIB Bank - Callan
Kilkenny,carpetright_gb,,unknown,Carpetright
Kilkenny City,fedex,,unknown,FedEx Station
unknown,inver,Castlecomer Road Kilkenny,unknown,Inver Castlecomer Road
unknown,inver,Main Street Goresbridge R95XYY2 Co. Kilkenny,unknown,Inver Goresbridge
unknown,inver,Inver Slieverue Junction Rathpatrick Co. Kilkenny X91 E6CY,unknown,Inver Slieverue Junction
unknown,inver,Newrath Newrath Road Co. Kilkenny X91 KHY9 Ireland,unknown,Inver Red Bridge
unknown,inver,Kilkenny Street Freshford,unknown,Inver Freshford
unknown,inver,Dooley’s Garage Georges Tree Jenkinstown Kilkenny,unknown,Inver Dooleys
unknown,inver,Main St Urlingford Co. Kilkenny Ireland,unknown,Inver Elys Urlingford
unknown,inver,Clonmel Road Callan,unknown,Inver Mahers
unknown,inver,Johnstown Co. Kilkenny,unknown,Inver Johnstown
Kilkenny,lidl_ie,,unknown,Kilkenny Johnswell Road
unknown,lidl_ie,,unknown,unknown
Thomastown,lidl_ie,,unknown,Thomastown
Kilkenny,maxol_ie,,unknown,Maxol Service Station Kilkenny
Kilkenny,subway,,unknown,Subway
Paulstown Co. Kilkenny,subway,,unknown,Subway Applegreen Motorway Svc Area
KILKENNY,visa,,unknown,unknown
KILENNY,visa,,unknown,unknown
