City,Place Name,Zipcode,Name
unknown,boots_th,"Unit GP -11-14 Ayutthaya City Park 
126 Moo 3 Sai Asia Road Khlongsuanphloo 
Phranakhon si ayutthaya 
Phranakhon si ayutthaya 13000",unknown,Ayutthaya City Park
พระนครศรีอยุธยา,caltex,,unknown,คาลเท็กซ์ สาขาพงษ์พันธุ์ ออยล์
ปทุมธานี,caltex,,unknown,คาลเท็กซ์ สาขาเพชรธนวรรณ สาขา 2
พระนครศรีอยุธยา,nissan_europe,,unknown,ออโต้ แกลเลอรี่ เอ มอร์ อยุธยา
ปทุมธานี,nissan_europe,,unknown,เมกา ออโตโมบิล ติวานนท์ สำนักงานใหญ่
unknown,pizza_hut_th,101 Moo 3 Sam Ruean Subdistrict Bang Pa-In District Phra Nakhon Si Ayutthaya Province 13160,unknown,Lotus Rojana Ayutthaya
unknown,pizza_hut_th,138/7-8 Moo 3 Pai Ling Subdistrict Pranakornsriayutthaya District Pranakornsriayutthaya Province 13000,unknown,Ayutthaya
LAT BUA LUANG,visa,,unknown,unknown
PHRA NAKHON SI AYUTTHAYA,visa,,unknown,unknown
BANG SAI,visa,,unknown,unknown
SENA,visa,,unknown,unknown
BANG PAHAN,visa,,unknown,unknown
MUEANG PHRA NAKHON SI AYUTTHAYA,visa,,unknown,unknown
UTHAI,visa,,unknown,unknown
Phra Nakhon Si Ayutthaya,western_union,,unknown,KTB ROJANA
Bang Pa In,western_union,,unknown,7-11 SINTHIWATHANI GATE 2
Nakhon Luang,western_union,,unknown,THAILAND POST NAKHON LUANG
Phra Nakhon Si Ayuttaya,western_union,,unknown,PREMIUM OUTLET AYUTTHAYA
Lat Bua Luang,western_union,,unknown,THAILAND POST LAT BUA LUANG
Bang Sai,western_union,,unknown,THAILAND POST BANG SAI
Banko,western_union,,unknown,7-11 CHUMCHON BANKO AYUTTHAYA
Bang Pa-in,western_union,,unknown,TESCO LOTUS ROJANA BRANCH
Sena,western_union,,unknown,BBL SENA AYUTHAYA
Wang Noi,western_union,,unknown,BAY WANG NOI
Uthai,western_union,,unknown,THAILAND POST UTHAI
Bang Ban,western_union,,unknown,BAAC BANGBAL
Mueang,western_union,,unknown,BAAC PHRA NAKHON SI AYUTTHAYA
Phak Hai,western_union,,unknown,KTB PHAK HAI
A. Pra Nakorn Sri Ayutthaya,western_union,,unknown,ROBINSON CENTRAL AYUTTHAYA
Phachi,western_union,,unknown,KTB PHACHI
Maha Rat,western_union,,unknown,THAILAND POST MAHA RAT
Bang Pahan,western_union,,unknown,THAILAND POST BANG PAHAN
Tha Ruea,western_union,,unknown,BBL THA RUA AYUTHAYA
Ban Phraek,western_union,,unknown,THAILAND POST BAN PHRAEK
