City,Place Name,Zipcode,Name
Дніпро,adidas,,unknown,"дисконт-центр adidas & Reebok,  ТЦ Червоний Камінь | в магазині встановлено генератор"
ДНІПРОПЕТРОВСЬК,adidas,,unknown,"adidas,ТЦ Караван | в магазині встановлено генератор"
Dnipro,mercedes_benz,,unknown,Konkord TJV
Dnipro,smart,,unknown,Dnipropetrovsk-Auto PJSC
PERSHOTRAVENSK,visa,,unknown,unknown
KRYVYY RIG,visa,,unknown,unknown
SHYROKE,visa,,unknown,unknown
ZELENODILSK,visa,,unknown,unknown
ZELENODOLSK,visa,,unknown,unknown
NIKOPOL',visa,,unknown,unknown
PAVLOHRAD,visa,,unknown,unknown
DNIPRO,visa,,unknown,unknown
POKROVS'KE,visa,,unknown,unknown
MAHDALYNIVKA,visa,,unknown,unknown
CHERVONOHRYHORIVKA,visa,,unknown,unknown
YELYZAVETIVKA,visa,,unknown,unknown
NOVOMOSKOVS'K,visa,,unknown,unknown
KRYVYI RIH,visa,,unknown,unknown
SYNEL'NYKOVE,visa,,unknown,unknown
SLAVGOROD,visa,,unknown,unknown
KRYVIY RIH,visa,,unknown,unknown
PAVLOPILLYA,visa,,unknown,unknown
VESELE,visa,,unknown,unknown
NIKOPOL,visa,,unknown,unknown
PETROVO,visa,,unknown,unknown
ZHOVTI VODY,visa,,unknown,unknown
PRYYUTIVKA,visa,,unknown,unknown
VILNOGIRSK,visa,,unknown,unknown
SHAKHTARSKE,visa,,unknown,unknown
KAMYANSKE,visa,,unknown,unknown
DNIPRODZERZHYNS'K,visa,,unknown,unknown
KAMIANSKE,visa,,unknown,unknown
SYNELNYKOVO,visa,,unknown,unknown
SLOBOZHANSKE,visa,,unknown,unknown
PIDGORODNE,visa,,unknown,unknown
NOVOMOSKOVSK,visa,,unknown,unknown
KOLOMYITSI,visa,,unknown,unknown
MAYSKE,visa,,unknown,unknown
PAVLOGRAD,visa,,unknown,unknown
PETROPAVLIVKA,visa,,unknown,unknown
VERBKIVSKA SILSKA RADA,visa,,unknown,unknown
DMYTRIVKA,visa,,unknown,unknown
VERBKY,visa,,unknown,unknown
BOGDANIVKA,visa,,unknown,unknown
TERNIVKA,visa,,unknown,unknown
MYKOLAYIVKA,visa,,unknown,unknown
