Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72860126,moneygram,BANCO W,,CUCUTA,,,CO,+57 1 800 0515656,,Mo-Fr 08:00-17:00; Sa 08:30-12:30; Su 00:00-24:00,MoneyGram,Q1944412
73843618,moneygram,BANCO W - CUCUTA - CUCUTA COMERCIAL,,CUCUTA,,,CO,1800515656,,Mo-Fr 08:00-16:00; Sa 08:30-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74618855,moneygram,MASRED - CUCUTA - ALMACEN Y JOYERIA LA F,,CUCUTA,,,CO,+57 607 5711827,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618279,moneygram,MASRED - CUCUTA - JOYERIA OROEXPRESS CUC,,CUCUTA,,,CO,+57 607 5710256,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618282,moneygram,MASRED - CUCUTA - JOYERIA OROEXPRESS DOR,,CUCUTA,,,CO,+57 607 5723869,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618295,moneygram,MASRED - CUCUTA - JOYERIA OROEXPRESS FOR,,CUCUTA,,,CO,+57 607 5726550,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618305,moneygram,MASRED - CUCUTA - JOYERIA OROEXPRESS INS,,CUCUTA,,,CO,+57 607 5727770,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618321,moneygram,MASRED - CUCUTA - JOYERIA OROEXPRESS MIN,,CUCUTA,,,CO,+57 607 5724476,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618334,moneygram,MASRED - CUCUTA - JOYERIA OROEXPRESS MOT,,CUCUTA,,,CO,+57 607 5728488,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618363,moneygram,MASRED - CUCUTA - JOYERIA OROEXPRESS MOT,,CUCUTA,,,CO,+57 607 5877148,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618376,moneygram,MASRED - CUCUTA - JOYERIA OROEXPRESS PER,,CUCUTA,,,CO,+57 607 5834010,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618347,moneygram,MASRED - CUCUTA - JOYERIA OROEXPRESS PIR,,CUCUTA,,,CO,+57 607 5830880,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618318,moneygram,MASRED - CUCUTA - JOYERIA OROEXPRESS TIO,,CUCUTA,,,CO,+57 607 5710259,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74834943,moneygram,JURISCOOP - CUCUTA - JURISCOOP-CUCUTA,,CUCUTA,,,CO,5747553,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
