City,Place Name,Zipcode,Name
unknown,aldi_sud_ie,,unknown,"ALDI Dublin Road, Limerick"
unknown,allied_irish_banks_ie,,unknown,AIB Bank - Abbeyfeale
unknown,inver,Inver Ennis Road Service Station Ennis Road Limerick V94 HN3X,unknown,Inver Ennis Road Service Station
unknown,inver,Croom Ploughlands Co. Limerick,unknown,Inver Carrigeen
unknown,inver,Inver Old Cork Road Kilmallock Rd Crossagalla Limerick,unknown,Inver Old Cork Road
unknown,inver,Old Pallas Pallasgreen Co. Limerick,unknown,Inver Old Pallas
unknown,inver,Glin Co. Limerick,unknown,Inver Adams of Glin
unknown,inver,Rathkeale Road Adare Co. Limerick,unknown,Inver Moynihans
unknown,inver,Ennis Road Co. Limerick,unknown,Inver Premier Service Station
unknown,inver,Clonreask Askeaton Co.Limerick,unknown,Inver Askeaton
unknown,inver,Castletroy Limerick,unknown,Inver Hurlers
unknown,inver,Ballinacurra Co. Limerick,unknown,Inver Punches Cross
unknown,inver,Boher Ballysimon Co. Limerick,unknown,Inver Ballysimon
unknown,inver,Rathkeale Co. Limerick,unknown,Inver Rathkeale
unknown,inver,Ballysimon Road Co. Limerick,unknown,Inver Fairgreen
unknown,inver,Ballyneety Co. Limerick,unknown,Inver Ballyneety
Limerick,lidl_ie,,unknown,Childers Road
unknown,lidl_ie,,unknown,unknown
Newcastlewest,lidl_ie,,unknown,Newcastlewest
Limerick,maxol_ie,,unknown,Maxol Service Station Garryowen
Seefin Co. Offaly,subway,,unknown,Subway Applegreen Service Station
Newcastle West Co. Limerick,subway,,unknown,Subway Applegreen Service Station
Limerick Co Limerick,subway,,unknown,Subway The Crescent Shopping Centre
Limerick,subway,,unknown,Subway Centra C-Store
Newcastle West,subway,,unknown,Subway
Limerick Co.Limerick,subway,,unknown,Subway Applegreen Service Station
Limerick County Limerick,subway,,unknown,Subway
Castletroy,subway,,unknown,Subway
Limerick,superdry,,unknown,Superdry  Limerick
Childers Road,the_range,,unknown,The Range: Limerick
KILMALLOCK,visa,,unknown,unknown
ABBEYFEALE,visa,,unknown,unknown
NEWCASTLEWEST,visa,,unknown,unknown
RATHKEALE,visa,,unknown,unknown
KILDIMO,visa,,unknown,unknown
ADARE,visa,,unknown,unknown
RAHEEN,visa,,unknown,unknown
DOORADOYLE,visa,,unknown,unknown
LIMERICK,visa,,unknown,unknown
CASTLETROY,visa,,unknown,unknown
CORBALLY,visa,,unknown,unknown
DOCK ROAD,visa,,unknown,unknown
