Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
2301,systembolaget_se,Kyrkgatan 66,,ÖSTERSUND,Jämtlands län,,SE,,,Mo-Fr 10:00-19:00; Sa 10:00-15:00,Systembolaget,Q1476113
2302,systembolaget_se,Lillänge,,ÖSTERSUND,Jämtlands län,,SE,,,Mo-Fr 10:00-19:00; Sa 10:00-15:00,Systembolaget,Q1476113
2304,systembolaget_se,Riksvägen 39,,BRÄCKE,Jämtlands län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2305,systembolaget_se,Fjällvägen 5,,SVEG,Jämtlands län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2306,systembolaget_se,Storgatan 6,,STRÖMSUND,Jämtlands län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2307,systembolaget_se,Gastkullevägen 1 A,,JÄRPEN,Jämtlands län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2308,systembolaget_se,Centralgatan 12,,HAMMARSTRAND,Jämtlands län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2309,systembolaget_se,Centrumvägen 3 B,,SVENSTAVIK,Jämtlands län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2310,systembolaget_se,Årevägen 49,,ÅRE,Jämtlands län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-15:00,Systembolaget,Q1476113
2311,systembolaget_se,Genvägen 8,,KROKOM,Jämtlands län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2312,systembolaget_se,Sjöängsvägen 2,,FUNÄSDALEN,Jämtlands län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-15:00,Systembolaget,Q1476113
