Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68266514,moneygram,NIB - TAMERAT AGAT BLDG.,,ADDIS ABABA,,,ET,118963634,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
68302261,moneygram,NIB - DEMBEL CITY CENTRE,,ADDIS ABABA,,,ET,+251 11 551 7561,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
72302228,moneygram,NIB INTERNATIONAL BANK - ABINET ADEBABAY,,ADDIS ABABA,,,ET,112299037,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302147,moneygram,NIB INTERNATIONAL BANK - ANFO,,BURAYU,,,ET,113696884,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302448,moneygram,NIB INTERNATIONAL BANK - ANGACHA,,ANGACH'A,,,ET,463400434,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302396,moneygram,NIB INTERNATIONAL BANK - ARABSSA,,ADDIS ABABA,,,ET,116125514,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302257,moneygram,NIB INTERNATIONAL BANK - AREKA,,AREKA,,,ET,465521522,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302338,moneygram,NIB INTERNATIONAL BANK - AWASH 7 KILO,,AWASH 7 KILO,,,ET,+251 22 224 1187,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302383,moneygram,NIB INTERNATIONAL BANK - BODITI,,BODITI,,,ET,+251 46 559 0925,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302244,moneygram,NIB INTERNATIONAL BANK - BUNNA BOARD,,ADDIS ABABA,,,ET,114709711,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302105,moneygram,NIB INTERNATIONAL BANK - GERJI GIORGIS,,ADDIS ABABA,,,ET,+251 11 639 4534,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302370,moneygram,NIB INTERNATIONAL BANK - GIMIBICHU,,GIMBICHU,,,ET,467720799,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302079,moneygram,NIB INTERNATIONAL BANK - HOSSANA GOMBORA,,HOSSANA,,,ET,461787538,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302202,moneygram,NIB INTERNATIONAL BANK - KOTEBE GEBEYA,,ADDIS ABABA,,,ET,116680291,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302309,moneygram,NIB INTERNATIONAL BANK - LOGIA,,LOGYA,,,ET,+251 33 550 1196,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302341,moneygram,NIB INTERNATIONAL BANK - MOENCO,,ADDIS ABABA,,,ET,116680164,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302215,moneygram,NIB INTERNATIONAL BANK - SARIS ABO,,ADDIS ABABA,,,ET,114708694,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72302192,moneygram,NIB INTERNATIONAL BANK - SHALLA AREA,,ADDIS ABABA,,,ET,116358094,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72311714,moneygram,NIB INTERNATIONAL BANK - AWASHO,,SHASHEMENE,,,ET,462119652,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72311730,moneygram,NIB INTERNATIONAL BANK - DERARTU TULU,,ADDIS ABABA,,,ET,+251 11 550 4349,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72311701,moneygram,NIB INTERNATIONAL BANK - SAGURE,,SAGUE,,,ET,+251 22 338 1101,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72311727,moneygram,NIB INTERNATIONAL BANK - SARIS DAMA,,ADDIS ABABA,,,ET,114707860,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72406551,moneygram,NIB INTERNATIONAL BANK - BERECHA,,ADAMA,,,ET,222112306,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72406616,moneygram,NIB INTERNATIONAL BANK - IMPERIAL,,ADDIS ABABA,,,ET,+251 11 550 4349,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72406603,moneygram,NIB INTERNATIONAL BANK - LEBU ERTU,,ADDIS ABABA,,,ET,114625561,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72406548,moneygram,NIB INTERNATIONAL BANK - MAREKO KOSHE,,MAREK'O,,,ET,464650671,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72406593,moneygram,NIB INTERNATIONAL BANK - TELE MEDHANIALE,,ADDIS ABABA,,,ET,+251 11 550 4349,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
