City,Place Name,Zipcode,Name
Kalisz,fielmann_pl,,unknown,"Fielmann – Twój optyk w Kaliszu, Galeria Amber"
Wałbrzych,fielmann_pl,,unknown,"Fielmann – Twój optyk w Wałbrzychu, Galeria Victoria"
Leszno,fielmann_pl,,unknown,"Fielmann – Twój optyk w Lesznie, Galeria Leszno"
Zielona Góra,fielmann_pl,,unknown,"Fielmann – Twój optyk w Zielonej Górze, Focus Mall"
Wrocław,fielmann_pl,,unknown,"Fielmann – Twój optyk we Wrocławiu, Galeria Dominikańska"
Opole,fielmann_pl,,unknown,"Fielmann – Twój optyk w Opolu, CH Karolinka"
Poznań,fielmann_pl,,unknown,"Fielmann – Twój optyk w Poznaniu, Galeria Pestka"
Częstochowa,fielmann_pl,,unknown,"Fielmann – Twój optyk w Częstochowie, aleja Najświętszej Maryi Panny 33"
Legnica,fielmann_pl,,unknown,"Fielmann – Twój optyk w Legnicy, ul. Najświętszej Marii Panny 5d"
Lódz,fielmann_pl,,unknown,"Fielmann – Twój optyk w Łodzi, Galeria Łódzka"
