City,Place Name,Zipcode,Name
Kashi,mercedes_benz,,unknown,"Xinjiang Kashi Huachi Auto Sales & Service Co., Ltd."
乌鲁木齐市,nike,,unknown,新疆乌鲁木齐友好北路BEACON-L2 EXTENDED
乌鲁木齐,nike,,unknown,新疆维吾尔自治区乌鲁木齐市德汇万达KICKS LOUNGE-L2
克拉玛依,nike,,unknown,POUSHENG新疆克拉玛依汇嘉时代NIKE SPORT-M
KASHI,visa,,unknown,unknown
CHANGJI,visa,,unknown,unknown
AKSU,visa,,unknown,unknown
WULUMUQI,visa,,unknown,unknown
KASHGAR,visa,,unknown,unknown
KIZILSU,visa,,unknown,unknown
HOTAN,visa,,unknown,unknown
TUMXUK,visa,,unknown,unknown
ARAL,visa,,unknown,unknown
ILI,visa,,unknown,unknown
BORTALA,visa,,unknown,unknown
QOQEK,visa,,unknown,unknown
BAYINGOL,visa,,unknown,unknown
KARAMAY,visa,,unknown,unknown
ALTAY,visa,,unknown,unknown
SHIHEZI,visa,,unknown,unknown
URUMQI,visa,,unknown,unknown
WUJIAQU,visa,,unknown,unknown
TURPAN,visa,,unknown,unknown
KUMUL,visa,,unknown,unknown
