Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66410469,moneygram,BOC - FJQZ FENGZHOU SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8678 1250,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66410896,moneygram,BOC - FJQZ YINGDU SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8616 6512,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66410414,moneygram,BOC - FJQZ CHANG'AN SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8638 3167,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411015,moneygram,BOC - FJQZ SHUITOU SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8698 5250,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66410362,moneygram,BOC - FJQZ NAN'AN SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8636 9828,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66410511,moneygram,BOC - FJQZ SHIJING SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8608 7250,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66410760,moneygram,BOC - FJQZ JINTAO SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8641 1748,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66410676,moneygram,BOC - FJQZ MEISHAN SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8658 5180,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66410964,moneygram,BOC - FJQZ GUANQIAO SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8688 2150,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66410595,moneygram,BOC - FJQZ SHISHAN SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8648 5701,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411099,moneygram,BOC - FJQZ HONGLAI SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8668 2185,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66410715,moneygram,BOC - FJQZ LUODONG SUB-BRANCH,,QUANZHOU,,,CN,+86 595 8656 8250,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
