City,Place Name,Zipcode,Name
Steyr,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Steyr, Hey! Steyr"
Innsbruck,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Innsbruck Zentrum, Maria-Theresien-Straße 6"
Salzburg,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Salzburg Kleßheim, EUROPARK"
Wörgl,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Wörgl, Bahnhofstraße 33"
Vöcklabruck,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Vöcklabruck, VARENA"
Linz,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Linz, Landstraße 54 - 56"
Bürs,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Bürs, ZIMBAPARK"
Ried im Innkreis,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Ried im Innkreis Zentrum, Hauptplatz 42"
Dornbirn,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Dornbirn Schoren (6. Bezirk), Messepark"
Wels,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Wels Zentrum, Bäckergasse 18"
Bregenz,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Bregenz Zentrum, Kaiserstr. 20"
Pasching bei Linz,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Pasching bei Linz Pasching, PlusCity"
