City,Place Name,Zipcode,Name
Bangalore,adidas,,unknown,"adidas Store Bangalore, Mall of Asia"
Bengaluru,ashley_furniture,,unknown,"Ashley Bengaluru, KA"
BENGALURU,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #982 - BENG
BHOGADI,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - BHOGADI
BTM LAYOUT,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - BTM LAYO
DHARWAD,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - DHARWAD
GANDHI BAZAAR,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - GANDHI B
HENNUR,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - HENNUR -
HSR LAYOUT,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - HSR LAYO
JP NAGAR,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - JP NAGAR
KORAMANGALA,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - KORAMANG
KR PET,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - KR PET -
MYSURU,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #926 - MYSU
NAGARABHAVI,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - NAGARABH
PANDAVAPURA,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #966 - PAND
SBM COLONY,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - SBM COLO
SRINAGAR,moneygram,,unknown,MUTHOOTTU MINI FINANCIERS LTD - SRINAGAR
HEGGADADEVANKOTE,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
CHAMARAJNAGAR,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
GADAG,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
BENGALURU URBAN,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
SHIVAMOGGA,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1316 - SHI
DAVANAGERE,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
HOSAPETE,moneygram,,unknown,EQUITAS SMALL FINANCE BANK
KONANAKUNTE,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1007 - KON
GAURIBIDANUR,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1014 - GAU
ATTIBELE,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1030 - ATT
YELAHANKA,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1099 - YEL
KUSHALNAGAR,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1107 - KUS
KADABA,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1164 - KAD
CHANNAGIRI,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1168 - CHA
BETTADAPURA,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1307 - BET
HOLALKERE,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1320 - HOL
MUNDARAGI,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1327 - MUN
SOMWARPET,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1339 - SOM
HEBBAGODI,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #1362 - HEB
MADIWALA,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #185 - MADI
HOSUR MAIN ROAD,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #294 - HOSU
AVALAHALLI,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #382 - AVAL
PUMPWELL,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #632 - PUMP
DEVANAHALLI,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #687 - DEVA
KAIKAMBA MANGALORE,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #704 - KAIK
GUNDLUPET,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #746 - GUND
MADDUR,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #767 - MADD
HASSAN,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #847 - HASS
NARAVI,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #905 - NARA
NELAMANGALA TOWN,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #917 - NELA
NANJANGUD,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #921 - NANJ
PERIYAPATNA,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #945 - PERI
KOLLEGAL,moneygram,,unknown,KOSAMATTAM FINANCE LIMITED - #974 - KOLL
ALNAVAR,moneygram,,unknown,SHRI BEERESHWAR CO OPERATIVE CREDIT SOCI
MUDHOL,moneygram,,unknown,SHRI BEERESHWAR CO OPERATIVE CREDIT SOCI
