Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
de5ba24d8a849517e0c44dd2a0072dca,western_union,HOP ESEKA,,Eseka,LITTORAL,,CM,+237 6 83 75 27 26,https://location.westernunion.com/cm/littoral/eseka/de5ba24d8a849517e0c44dd2a0072dca,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
a863376b800a29481b558559e2b66a23,western_union,HOP Ed�a III,,Edea,LITTORAL,,CM,+237 6 83 73 39 53,https://location.westernunion.com/cm/littoral/edea/a863376b800a29481b558559e2b66a23,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
5a25941a2908d69498b3a0d56f03cf46,western_union,HOP DLA JAPOMA,,Douala,LITTORAL,,CM,+237 6 83 73 55 75,https://location.westernunion.com/cm/littoral/douala/5a25941a2908d69498b3a0d56f03cf46,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
967cd5ee1e6064afd69c76b67c0e366f,western_union,HOP DLA BORNE 10,,Douala,LITTORAL,,CM,+237 6 83 72 62 26,https://location.westernunion.com/cm/littoral/douala/967cd5ee1e6064afd69c76b67c0e366f,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
96febc0ac13480217bfba9e71d70e8c1,western_union,HOP DLA NDOGPASSI 14EME,,Douala,LITTORAL,,CM,+237 6 83 73 60 89,https://location.westernunion.com/cm/littoral/douala/96febc0ac13480217bfba9e71d70e8c1,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
f2e14941a2c65f25ab160899c95c0f9e,western_union,HOP DLA NYALLA PARISO,,Douala,LITTORAL,,CM,+237 6 83 73 38 72,https://location.westernunion.com/cm/littoral/douala/f2e14941a2c65f25ab160899c95c0f9e,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
c043b7b62a17e224be2d1a4975d38f4b,western_union,HOP DLA HOTEL MBETE,,Douala,LITTORAL,,CM,+237 6 83 73 54 44,https://location.westernunion.com/cm/littoral/douala/c043b7b62a17e224be2d1a4975d38f4b,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
8faf3005c527795a7f5f5e00ecb39d6c,western_union,HOP DLA CITE DE LA PAIX,,Douala,LITTORAL,,CM,+237 6 83 75 37 32,https://location.westernunion.com/cm/littoral/douala/8faf3005c527795a7f5f5e00ecb39d6c,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
5447bf40e6d1ae7db86523c2a17cc0bc,western_union,HOP DLA BEEDI,,Douala,LITTORAL,,CM,+237 6 83 73 36 22,https://location.westernunion.com/cm/littoral/douala/5447bf40e6d1ae7db86523c2a17cc0bc,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
43702bcec6e94f06181ebeb8d7f10eac,western_union,HOP DLA MAKEPE BOCOM,,Douala,LITTORAL,,CM,+237 6 50 56 61 47,https://location.westernunion.com/cm/littoral/douala/43702bcec6e94f06181ebeb8d7f10eac,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
ee545f8507b5a68c2a7fe7abd1a20dd9,western_union,HOP DLA NDOGBONG 1,,Douala,LITTORAL,,CM,+237 6 83 73 69 95,https://location.westernunion.com/cm/littoral/douala/ee545f8507b5a68c2a7fe7abd1a20dd9,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
378d311eef76b55ca0a8842730b1eb74,western_union,HOP DLA DEIDO MARCHE,,Douala,LITTORAL,,CM,+237 6 83 75 28 65,https://location.westernunion.com/cm/littoral/douala/378d311eef76b55ca0a8842730b1eb74,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
1392c65cda2d866249174a80896fe122,western_union,HOP DLA GRAND MOULIN ENTREE BEPANDA,,Douala,LITTORAL,,CM,+237 6 83 72 59 46,https://location.westernunion.com/cm/littoral/douala/1392c65cda2d866249174a80896fe122,Mo-Sa 08:00-18:00; Su 08:00-15:00,Western Union,Q861042
