City,Place Name,Zipcode,Name
Schorndorf,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Schorndorf, Johann-Philipp-Palm-Straße 19"
Schwäbisch Hall,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Schwäbisch Hall, Schwatzbühlgasse 6 - 8"
Ingolstadt,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Ingolstadt, Moritzstraße 3"
Weißenburg in Bayern,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Weißenburg in Bayern, Luitpoldstraße 18"
Ludwigsburg,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Ludwigsburg, Kirchstraße 2"
Crailsheim,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Crailsheim, Karlstraße 10"
Neuburg a.d. Donau,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Neuburg a.d. Donau, Färberstr. 4"
Bietigheim-Bissingen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Bietigheim-Bissingen, Hauptstraße 41"
Bad Mergentheim,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Bad Mergentheim, Kirchstr. 1"
Kirchheim unter Teck,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Kirchheim unter Teck, Marktstraße 41"
Waiblingen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Waiblingen, Alter Postplatz 7"
Backnang,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Backnang, Uhlandstraße 3"
Esslingen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Esslingen, Pliensaustraße 12"
Göppingen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Göppingen, Marktstraße 9"
Schwäbisch Gmünd,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Schwäbisch Gmünd, Marktplatz 33"
Aalen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Aalen, Mittelbachstr. 2-6"
Würzburg,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Würzburg, Kaiserstr. 26"
Ansbach,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Ansbach Neustadt, Martin-Luther-Platz 8"
