Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
4876f9311d4cc6f0ede2edd4658f2342,western_union,N SH SHPENDI,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/4876f9311d4cc6f0ede2edd4658f2342,Mo-Fr 07:30-20:00; Sa 07:30-17:00,Western Union,Q861042
4a8d5a8ccd5f7fee94fe2064779bce97,western_union,CITY LIGHT SH P K,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/4a8d5a8ccd5f7fee94fe2064779bce97,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
23919d872d9760d4c9b6c298c5c85d98,western_union,ATLANTIS L L C,,Prishtine,PRISHTINA,,XK,+383 44 116 070,https://location.westernunion.com/k1/prishtina/prishtine/23919d872d9760d4c9b6c298c5c85d98,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
6bf0fc1fc46ed3984e9f2071fbbbaa55,western_union,MOBI COMPUTERS SH P K,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/6bf0fc1fc46ed3984e9f2071fbbbaa55,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
f1684166eeca4033fd3ca04501e2ed0e,western_union,CITY E GROSS SH P K,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/f1684166eeca4033fd3ca04501e2ed0e,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
09249c0f6c6fad3b0a668b7ada0809b7,western_union,DRINI,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/09249c0f6c6fad3b0a668b7ada0809b7,Mo-Fr 07:30-20:00; Sa 07:30-17:00,Western Union,Q861042
6da712ea0e35c3994016ce9490578b2b,western_union,N SH SHKODRANI,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/6da712ea0e35c3994016ce9490578b2b,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
0fa5e93062dea0244dc370a46281ce41,western_union,BLINI UNION SH P K,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/0fa5e93062dea0244dc370a46281ce41,Mo-Fr 07:30-20:00; Sa 08:00-17:00,Western Union,Q861042
dcabf32ef5b4dc24e7a6320ad61fc90f,western_union,MOBI COMPUTERS SH P K,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/dcabf32ef5b4dc24e7a6320ad61fc90f,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
abd7f1dd775c703c7d9e84c2a682a740,western_union,ARIAN BYTYQI B I,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/abd7f1dd775c703c7d9e84c2a682a740,Mo-Fr 08:00-18:00; Sa 19:00-16:00,Western Union,Q861042
4588e6821dfeae175c8321b7804f2a3b,western_union,ZEUS SH P K,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/4588e6821dfeae175c8321b7804f2a3b,Mo-Fr 07:30-20:00; Sa 07:30-17:00,Western Union,Q861042
