City,Place Name,Zipcode,Name
unknown,aldi_sud_gb,,unknown,"ALDI 860 Europa Boulavard, Warrington"
Warrington,baskin_robbins_gb_ie_je,,unknown,Warrington
Warrington,bhf_gb,,unknown,Warrington BHF Shop
Cheshire,iceland_foods,,unknown,Iceland
Warrington,pizza_hut_gb,,unknown,Pizza Hut Warrington West
Golborne,premier_gb,,unknown,Premier P&S Late Shop
Wigan,premier_gb,,unknown,Premier Appley Bridge
Warrington,rowlands_pharmacy_gb,,unknown,Rowlands Pharmacy Guardian Street
Warrington,specsavers,,unknown,Warrington
FEARNHEAD,visa,,unknown,unknown
WARRINGTON,williamhill_gb,,unknown,William Hill
