Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
73582034,moneygram,POSTA VE TELGRAF TESKILATI ANONIM SIRKET,,KUTAHYA,,,TR,+90 274 224 35 09,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73590712,moneygram,POSTA VE TELGRAF TESKILATI ANONIM SIRKET,,KUTAHYA,,,TR,+90 274 232 05 84,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73590699,moneygram,POSTA VE TELGRAF TESKILATI ANONIM SIRKET,,KUTAHYA,,,TR,+90 274 224 30 38,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73590709,moneygram,POSTA VE TELGRAF TESKILATI ANONIM SIRKET,,KUTAHYA,,,TR,+90 274 224 35 09,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73590725,moneygram,POSTA VE TELGRAF TESKILATI ANONIM SIRKET,,KUTAHYA,,,TR,+90 274 265 22 55,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73590738,moneygram,POSTA VE TELGRAF TESKILATI ANONIM SIRKET,,KUTAHYA,,,TR,+90 274 223 40 05,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73590741,moneygram,POSTA VE TELGRAF TESKILATI ANONIM SIRKET,,KUTAHYA,,,TR,+90 274 271 17 02,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73590754,moneygram,POSTA VE TELGRAF TESKILATI ANONIM SIRKET,,KUTAHYA,,,TR,+90 274 224 70 88,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73590767,moneygram,POSTA VE TELGRAF TESKILATI ANONIM SIRKET,,KUTAHYA,,,TR,+90 274 266 22 79,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73590770,moneygram,POSTA VE TELGRAF TESKILATI ANONIM SIRKET,,KUTAHYA,,,TR,+90 274 225 51 02,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73590783,moneygram,POSTA VE TELGRAF TESKILATI ANONIM SIRKET,,KUTAHYA,,,TR,+90 274 502 11 68,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
