Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68919735,moneygram,ARTHAPOS - #ML - MALANG - KPRK MALANG,,MALANG,,,ID,+62 21 71794849,,Mo-Sa 06:00-22:00; Su 07:00-15:00,MoneyGram,Q1944412
71685849,moneygram,BTN - MALANG - UNIBRAW,,MALANG,,,ID,+62 341 338115,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685933,moneygram,BTN - MALANG - SUKUN,,MALANG,,,ID,+62 341 411922,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685946,moneygram,BTN - MALANG - SINGOSARI,,MALANG,,,ID,+62 341 434377,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685991,moneygram,BTN - MALANG - KAWI,,MALANG,,,ID,+62 343 453773,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692450,moneygram,BTN - MALANG - STECOM RRI,,MALANG,,,ID,+62 21 3012469,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685962,moneygram,BTN - MALANG - WIDYAGAMA,,MALANG,,,ID,+62 341 423571,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692463,moneygram,BTN - MALANG - AR ROHMAH PUTRI,,MALANG,,,ID,21487677,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692447,moneygram,BTN - MALANG - TEBI,,MALANG,,,ID,+62 21 2310490,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685878,moneygram,BTN - MALANG - JAKSA AGUNG SUPRAPTO,,MALANG,,,ID,+62 341 2310490,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71685959,moneygram,BTN - MALANG - KEPANJEN,,MALANG,,,ID,+62 341 512134,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689269,moneygram,BTN - BLITAR - BLITAR,,BLITAR,,,ID,+62 342 772172,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
