Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
FordIJ42838  ITA,ford,MERCURI RENATO,,VITORCHIANO,,,IT,+39 0761 370906,,,Ford,Q44294
71949297,moneygram,POSTE ITALIANE,,CALCATA,,,IT,761588051,,Mo-Fr 08:20-13:45; Sa 08:20-12:45; Su 00:00-24:00,MoneyGram,Q1944412
41059049,moneygram,POSTE ITALIANE,,CORCHIANO,,,IT,+39 0761 572649,,Mo-Fr 08:20-13:45; Sa 08:20-12:45; Su 00:00-24:00,MoneyGram,Q1944412
41059272,moneygram,POSTE ITALIANE,,MONTEROSI,,,IT,+39 0761 699102,,Mo-Fr 08:20-13:35; Sa 08:20-12:35; Su 00:00-24:00,MoneyGram,Q1944412
41057151,moneygram,POSTE ITALIANE,,VALLERANO,,,IT,+39 0761 751882,,Mo-Fr 08:20-13:35; Sa 08:20-12:35; Su 00:00-24:00,MoneyGram,Q1944412
41056644,moneygram,POSTE ITALIANE,,CANEPINA,,,IT,+39 0761 750945,,Mo-Fr 08:20-13:45; Sa 08:20-12:45; Su 00:00-24:00,MoneyGram,Q1944412
41057193,moneygram,POSTE ITALIANE,,VASANELLO,,,IT,+39 0761 408615,,Mo-Fr 08:20-13:35; Sa 08:20-12:35; Su 00:00-24:00,MoneyGram,Q1944412
41056709,moneygram,POSTE ITALIANE,,BASSANO ROMANO,,,IT,+39 0761 634490,,Mo-Fr 08:20-13:45; Sa 08:20-12:45; Su 00:00-24:00,MoneyGram,Q1944412
41058956,moneygram,POSTE ITALIANE,,CASTEL SANT ELIA,,,IT,+39 0761 556952,,Mo-Fr 08:20-13:45; Sa 08:20-12:45; Su 00:00-24:00,MoneyGram,Q1944412
41057436,moneygram,POSTE ITALIANE,,VITORCHIANO,,,IT,+39 0761 370793,,Mo-Fr 08:20-13:35; Sa 08:20-12:35; Su 00:00-24:00,MoneyGram,Q1944412
41059531,moneygram,POSTE ITALIANE,,FALERIA,,,IT,+39 0761 588044,,Mo-Fr 08:20-13:45; Sa 08:20-12:45; Su 00:00-24:00,MoneyGram,Q1944412
43652826,moneygram,POSTE ITALIANE,,BASSANO IN TEVERINA,,,IT,+39 0761 407511,,Mo-Fr 08:20-13:45; Sa 08:20-12:45; Su 00:00-24:00,MoneyGram,Q1944412
41058930,moneygram,POSTE ITALIANE,,CARBOGNANO,,,IT,+39 0761 613501,,Mo-Fr 08:20-13:45; Sa 08:20-12:45; Su 00:00-24:00,MoneyGram,Q1944412
