City,Place Name,Zipcode,Name
Житомир,adidas,,unknown,"дисконт-центр adidas & Reebok , ТЦ Глобал UA | в магазині встановлено генератор"
Zhytomyr,mercedes_benz,,unknown,Zhytomyr-Auto PJSC
ZHYTOMYR,visa,,unknown,unknown
BERDYCHIV,visa,,unknown,unknown
NOVOHRAD-VOLYNSʹKYY,visa,,unknown,unknown
ZVYAGEL,visa,,unknown,unknown
NEMYRYNTSI,visa,,unknown,unknown
NOVOHRAD-VOLYNS'KYI,visa,,unknown,unknown
POPIL'NIA,visa,,unknown,unknown
CHYZHIVKA,visa,,unknown,unknown
KOROSTEN',visa,,unknown,unknown
KOROSTEN,visa,,unknown,unknown
