Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
71982283,moneygram,BOC - #55664 - HAIKOU - HAIKOU JINMAO SU,,HAIKOU,,,CN,+86 898 6656 2997,,24/7,MoneyGram,Q1944412
71981967,moneygram,BOC - #55704 - HAIKOU - HAIKOU LONGZHU S,,HAIKOU,,,CN,+86 898 6656 2843,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
71982649,moneygram,BOC - #55705 - HAIKOU - HAIKOU HAIGUAN S,,HAIKOU,,,CN,+86 898 6656 2845,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
71981873,moneygram,BOC - #55738 - HAIKOU - HAIKOU HUABAO SU,,HAIKOU,,,CN,+86 898 6656 2705,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
71982102,moneygram,BOC - #55750 - HAIKOU - HAIKOU GUOMAO SU,,HAIKOU,,,CN,+86 898 6656 2866,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
71982128,moneygram,BOC - #55763 - HAIKOU - HAIKOU YEHAIDADA,,HAIKOU,,,CN,+86 898 6656 3282,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70732654,moneygram,BOC - #14844 - HNHK HAIGUAN SUBBR,,HAIKOU,,,CN,+86 898 6656 2845,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66819219,moneygram,BOC - #14713 - HNHK HAIDIANWUXILU SUB-BR,,HAIKOU,,,CN,+86 898 6656 2685,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66819329,moneygram,BOC - #14854 - HNSY BRANCH OPERATION CEN,,HAIKOU,,,CN,+86 898 8867 6057,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66819390,moneygram,BOC - #14856 - HNWC WENCHANG SUB-BR,,HAIKOU,,,CN,+86 898 6326 3315,,Mo-Fr 08:00-17:30; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66819604,moneygram,BOC - #14721 - HNHK NANSHALU SUB-BR,,HAIKOU,,,CN,+86 898 6656 2878,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66819316,moneygram,BOC - #14865 - HNHK JINNIU SUB-BR,,HAIKOU,,,CN,+86 898 6656 3233,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
