City,Place Name,Zipcode,Name
COLLI A VOLTURNO,carrefour_it,,unknown,"Carrefour Express VIA ROMA,2/A - COLLI A VOLTURNO (IS)"
unknown,conad_it,VIA ATINENSE 2H 86077 POZZILLI,unknown,Conad City
unknown,conad_it,VIA STARZE 40 86070 MONTAQUILA,unknown,unknown
unknown,conad_it,VIA EDUARDO DE FILIPPO 4 86070 ROCCHETTA A VOLTURNO,unknown,unknown
unknown,conad_it,CORSO GIUSEPPE GARIBALDI SNC 86170 ISERNIA,unknown,Conad City
unknown,conad_it,LOCALITA' NUNZIATELLA SNC 86170 ISERNIA,unknown,Conad
unknown,conad_it,VIA CAROVILLENSE 11 86083 CAROVILLI,unknown,unknown
Isernia,giunti_al_punto_it,Loc.nunziatella c/o Centro Commerciale In Piazza Centro D'Isernia 86170 Isernia IS,unknown,Libreria Giunti al Punto Isernia
ACQUAVIVA D'ISERNIA,moneygram,,unknown,POSTE ITALIANE
CASTEL SAN VINCENZO,moneygram,,unknown,POSTE ITALIANE
LONGANO,moneygram,,unknown,POSTE ITALIANE
FROSOLONE,moneygram,,unknown,POSTE ITALIANE
ISERNIA,moneygram,,unknown,EDICOLA DELLA STAZIONE
VENAFRO,moneygram,,unknown,TABACCHI VISONE
CANTALUPO,q8_italia,,unknown,Q8
CAROVILLI,q8_italia,,unknown,Q8
ISERNIA,q8_italia,,unknown,Q8
PESCHE,q8_italia,,unknown,Q8
MONTAQUILA,q8_italia,,unknown,Q8 Easy
VENAFRO,q8_italia,,unknown,Q8
AGNONE,q8_italia,,unknown,Q8
RIONERO SANNITICO,q8_italia,,unknown,Q8
SESTO CAMPANO,visa,,unknown,unknown
VENAFRO,visa,,unknown,unknown
POZZILLI,visa,,unknown,unknown
ROCCARAVINDOLA STAZIONE,visa,,unknown,unknown
MONTERODUNI,visa,,unknown,unknown
ROCCAMANDOLFI,visa,,unknown,unknown
ISERNIA,visa,,unknown,unknown
COLLI A VOLTURNO,visa,,unknown,unknown
FORNELLI,visa,,unknown,unknown
INDIPRETE,visa,,unknown,unknown
ROCCHETTA A VOLTURNO,visa,,unknown,unknown
MACCHIAGODENA,visa,,unknown,unknown
CARPINONE,visa,,unknown,unknown
CERRO AL VOLTURNO,visa,,unknown,unknown
FROSOLONE,visa,,unknown,unknown
RIONERO SANNITICO,visa,,unknown,unknown
CAPRACOTTA,visa,,unknown,unknown
AGNONE,visa,,unknown,unknown
PESCOPENNATARO,visa,,unknown,unknown
