City,Place Name,Zipcode,Name
Dili,ford,,unknown,"Entreposto Comercial de Timor, S.A."
DILI,moneygram,,unknown,ISLAND DREAM MONEY LDA - MANDARIN
AILEU,moneygram,,unknown,BNCTL - #1 - AILEU - BNCTL AILEU - #8 -
AINARO,moneygram,,unknown,BNCTL - #1 - AINARO - BNCTL AINARO - #14
BAUCAU,moneygram,,unknown,ISLAND DREAM MONEY - BAUCAU - PLAZA TELK
MANATUTO,moneygram,,unknown,BNCTL - #1 - BNCTL MANATUTO - #19 - MANA
LIQUICA,moneygram,,unknown,ISLAND DREAM MONEY - LIQUICA - TELKOMCEL
MALIANA,moneygram,,unknown,ISLAND DREAM MONEY - MALIANA - TELKOMCEL
OECUSSE,moneygram,,unknown,BNCTL - #1 - OECUSSE - BNCTL OECUSSE - #
SUAI,moneygram,,unknown,BNCTL - #1 - SUAI - BNCTL SUAI - #16 - S
VIQUEQUE,moneygram,,unknown,BNCTL - #1 - VIQUEQUE - BNCTL VIQUEQUE -
GLENO,moneygram,,unknown,BNCTL - #1 - GLENO - BNCTL GLENO - #12 -
LOSPALOS,moneygram,,unknown,BNCTL - #1 - LOSPALOS - BNCTL LOSPALOS -
SAME,moneygram,,unknown,BNCTL - #1 - SAME - BNCTL SAME - #15 - S
GLENO ERMERA,moneygram,,unknown,ISLAND DREAM MONEY - GLENO ERMERA - TELK
LOS PALOS,moneygram,,unknown,ISLAND DREAM MONEY - LOS PALOS - PLAZA T
