Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74618923,moneygram,MASRED - QUIBDO - ALMACEN Y JOYERIA EL R,,QUIBDO,,,CO,+57 604 6713827,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618936,moneygram,MASRED - QUIBDO - ALMACEN Y JOYERIA LA B,,QUIBDO,,,CO,+57 604 6715018,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618952,moneygram,MASRED - QUIBDO - ALMACEN Y JOYERIA LA C,,QUIBDO,,,CO,+57 604 6715141,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618965,moneygram,MASRED - QUIBDO - ALMACEN Y JOYERIA LA E,,QUIBDO,,,CO,+57 604 6711101,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618949,moneygram,MASRED - QUIBDO - ALMACEN Y JOYERIA LA N,,QUIBDO,,,CO,+57 604 6720528,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618978,moneygram,MASRED - QUIBDO - ALMACEN Y JOYERIA MEDR,,QUIBDO,,,CO,+57 604 6709343,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618130,moneygram,MASRED - QUIBDO - JOYERIA OROEXPRESS CAP,,QUIBDO,,,CO,+57 604 6716828,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618143,moneygram,MASRED - QUIBDO - JOYERIA OROEXPRESS CHO,,QUIBDO,,,CO,+57 604 6718072,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618156,moneygram,MASRED - QUIBDO - JOYERIA OROEXPRESS ESM,,QUIBDO,,,CO,+57 604 6710324,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618169,moneygram,MASRED - QUIBDO - JOYERIA OROEXPRESS MON,,QUIBDO,,,CO,+57 604 6710192,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618172,moneygram,MASRED - QUIBDO - JOYERIA OROEXPRESS PRI,,QUIBDO,,,CO,+57 604 6707442,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618185,moneygram,MASRED - QUIBDO - JOYERIA OROEXPRESS QUI,,QUIBDO,,,CO,+57 604 6717810,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618198,moneygram,MASRED - QUIBDO - JOYERIA OROEXPRESS SOL,,QUIBDO,,,CO,+57 604 6713879,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74618208,moneygram,MASRED - QUIBDO - JOYERIA OROEXPRESSZAFI,,QUIBDO,,,CO,+57 604 6708367,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
