City,Place Name,Zipcode,Name
Villanova Di Castenaso,footlocker,,unknown,"Foot Locker in Villanova Di Castenaso: Villanova Di Castenaso, Emilia-Romagna | Approved | Own It"
Savignano Sul Rubicone,footlocker,,unknown,"Foot Locker in Savignano Sul Rubicone: Savignano Sul Rubicone, Emilia-Romagna | Approved | Own It"
Rimini,footlocker,,unknown,"Foot Locker in Rimini: Rimini, Emilia-Romagna | Approved | Own It"
Parma,footlocker,,unknown,"Foot Locker in Parma: Parma, Emilia-Romagna | Approved | Own It"
Modena,footlocker,,unknown,"Foot Locker in Modena: Modena, Emilia-Romagna | Approved | Own It"
Reggio Emilia,footlocker,,unknown,"Foot Locker in Reggio Emilia: Reggio Emilia, Emilia-Romagna | Approved | Own It"
Imola,footlocker,,unknown,"Foot Locker in Imola: Imola, Emilia-Romagna | Approved | Own It"
Piacenza,footlocker,,unknown,"Foot Locker in Piacenza: Piacenza, Emilia-Romagna | Approved | Own It"
Forli-Cesena,footlocker,,unknown,"Foot Locker in Forli-Cesena: Forli-Cesena, Emilia-Romagna | Approved | Own It"
Ferrara,footlocker,,unknown,"Foot Locker in Ferrara: Ferrara, Emilia-Romagna | Approved | Own It"
Bologna,footlocker,,unknown,"Foot Locker in Bologna: Bologna, Emilia-Romagna | Approved | Own It"
