Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66411879,moneygram,BOC - FJZZ YUEXI SUB-BRANCH,,ZHANGZHOU,,,CN,5952930365,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66410922,moneygram,BOC - FJZZ SHIMA SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 652 5646,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411811,moneygram,BOC - FJZZ ZHANGZHOU SUB-BRANCH,,ZHANGZHOU,,,CN,5952972978,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411345,moneygram,BOC - FJZZ YUANLING SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 853 2699,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412027,moneygram,BOC - FJZZ YUANGUANGLU SUB-BRANCH,,ZHANGZHOU,,,CN,5952630018,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411028,moneygram,BOC - FJZZ ZHANGPU SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 310 0969,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66410977,moneygram,BOC - FJZZ XIADA ZHANGZHOU XIAOQU SUB-BR,,ZHANGZHOU,,,CN,+86 596 628 0805,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412690,moneygram,BOC - FJZZ JIAOMEI SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 676 6017,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412292,moneygram,BOC - FJZZ DANXIA SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 294 0724,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66405830,moneygram,BOC - FJZZ CHANGTAI SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 833 9001,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411316,moneygram,BOC - FJZZ YUNXIAO SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 853 2698,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411358,moneygram,BOC - FJZZ ZHAOAN SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 338 1309,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411329,moneygram,BOC - FJZZ CHANGSHAN SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 862 8540,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66405500,moneygram,BOC - FJZZ NANJING SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 782 2292,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66410728,moneygram,BOC - FJZZ ZHANGZHOU KAIFAQU SUB-BRANCH,,ZHANGSHOU,,,CN,+86 596 685 1562,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
