Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
82-336,billa,ČESKÉ BUDĚJOVICE HUSOVA,,České Budějovice,Jihočeský kraj,,CZ,0 381211207,,Mo-Sa 07:00-20:00; Su 08:00-20:00,BILLA,Q42969493
82-306,billa,CESKE BUDEJOVICE,,České Budějovice,Jihočeský kraj,,CZ,0 386353170,,Mo-Sa 07:00-20:00; Su 08:00-20:00,BILLA,Q42969493
82-857,billa,C.BUDEJOVICE-K.I.N. S186,,České Budějovice,Jihočeský kraj,,CZ,0 386467450,,Mo-Sa 07:00-21:00; Su 08:00-21:00,BILLA,Q42969493
82-869,billa,C.BUDEJOVICE-CIL S209,,České Budějovice,Jihočeský kraj,,CZ,0 385340901,,Mo-Sa 07:00-20:00; Su 08:00-20:00,BILLA,Q42969493
82-328,billa,CESKE BUDEJOVICE BIOS,,České Budějovice - Bios,Jihočeský kraj,,CZ,0 387319012,,Mo-Sa 07:00-20:00; Su 08:00-20:00,BILLA,Q42969493
GS0002354,mercedes_benz,Milan Král a.s.,,České Budějovice - Litvínovice,Jihočeský kraj,,CZ,+420 387 746 111,https://www.mercedes-benz-milankral.cz/,Mo-Fr 08:00-18:00; Sa 08:00-13:00,Mercedes-Benz,Q36008
#3-501769,penny,PENNY,,České Budějovice,Jihočeský kraj,,CZ,,,,Penny,Q284688
#3-501181,penny,PENNY,,České Budějovice,Jihočeský kraj,,CZ,,,,Penny,Q284688
#3-501183,penny,PENNY,,České Budějovice,Jihočeský kraj,,CZ,,,,Penny,Q284688
#3-501585,penny,PENNY,,České Budějovice,Jihočeský kraj,,CZ,,,,Penny,Q284688
