City,Place Name,Zipcode,Name
Cuenca,fedex,,unknown,"Nominated Service Contractor Entregas Especiales, S.A."
Cuenca,mercedes_benz,,unknown,AUTOLIDER ECUADOR S.A.S.
Cuenca,nissan_europe,,unknown,Automotores y Anexos Nissan Av. España
SEVILLA DE ORO,visa,,unknown,unknown
EL PAN,visa,,unknown,unknown
GUACHAPALA,visa,,unknown,unknown
PAUTE,visa,,unknown,unknown
CHORDELEG,visa,,unknown,unknown
CUENCA,visa,,unknown,unknown
GUALACEO,visa,,unknown,unknown
SIGSIG,visa,,unknown,unknown
NABON,visa,,unknown,unknown
GIRON,visa,,unknown,unknown
ONA,visa,,unknown,unknown
SANTA ISABEL,visa,,unknown,unknown
PUCARA,visa,,unknown,unknown
CAMILO PONCE ENRIQUEZ,visa,,unknown,unknown
Cuenca,western_union,,unknown,TECH STAYE S
Paute,western_union,,unknown,JARDIN AZUAYO - LAS ORQUIDEAS
Gualaceo,western_union,,unknown,CIS NOL COAC GANANSOL MATRIZ
Guachapala,western_union,,unknown,COAC MUSHUC RUNA LTDA
Sevilla De Oro,western_union,,unknown,JARDIN AZUAYO - SEVILLA DE ORO
El Pan,western_union,,unknown,LA EMBAJADA DEL PAN
Azuay,western_union,,unknown,SRNP COOP. AHORRO Y CR�DITO CREA PUCAR�
Nulti,western_union,,unknown,SRNP FE MEDICITY VISTA LINDA CUE
Camilo Ponce Enriquez,western_union,,unknown,CIS GDP LUIS QUITO
Ricaurte,western_union,,unknown,COOPERATIVA PROVIDA
Camilo Ponce Enr�quez,western_union,,unknown,11 DE JUNIO - PONCE ENRIQUEZ
Santa Isabel,western_union,,unknown,SERVICIOS DON NICO
Cuanca,western_union,,unknown,MW ASESORIA CONTABLE
Chordeleg,western_union,,unknown,COAC MUSHUC RUNA LTDA
Sigsig,western_union,,unknown,COAC MUSHUC RUNA LTDA
Cumbe,western_union,,unknown,KOKO CARGO EXPRESS
San Fernando,western_union,,unknown,JARDIN AZUAYO - SAN FERNANDO
Chumblin,western_union,,unknown,CARMITA TIRADO
Pucara,western_union,,unknown,AHORRISTA SOLIDARIO
Giron,western_union,,unknown,MICROMERCADO EL CISNE
Gir�n,western_union,,unknown,ERCO - GIRON
Nabon,western_union,,unknown,MARIANA DE JESUS BARZALLO MOROCHO
O�a,western_union,,unknown,JARDIN AZUAYO - O�A
