City,Place Name,Zipcode,Name
Paro,marriott,,unknown,"Le Méridien Paro, Riverfront"
Thimphu,marriott,,unknown,Le Méridien Thimphu
DAGAPELA,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #640956 -
KHURUTHANG,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #641004 -
HAA,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #641006 -
BONDEY,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #641008 -
GYALPOZHING,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #640953 -
OLAKHA,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #641003 -
TINGTIBI,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #640954 -
MOTITHANG,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #641002 -
TALA,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #641005 -
WAMRONG,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #640988 -
TABA,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #640952 -
RANGJUNG,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #640955 -
TRONGSA,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #640986 -
THIMPHU,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #297781 -
SAMDRUPJONGKHAR,moneygram,,unknown,BHUTAN NATIONAL BANK LTD - #255876 - SAM
PEMAGATSHEL,moneygram,,unknown,BHUTAN NATIONAL BANK LTD - #261615 - PEM
TASHIYANGTSE,moneygram,,unknown,BHUTAN NATIONAL BANK LTD - #257829 - TAS
TASHIGANG,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #297801 -
GELEPHUG,moneygram,,unknown,BHUTAN NATIONAL BANK LTD - #259677 - GEL
MONGAR,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #297794 -
WANGDIPHODRANG,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #368071 -
SAMTSE,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #522912 -
PHUNTSHOLING,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #297790 -
PARO,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #297792 -
GEYLEGPHUG,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #297797 -
SAMDRUP JONGKHAR,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #297800 -
BUMTANG TANG,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #368072 -
DAMPHU,moneygram,,unknown,BHUTAN NATIONAL BANK LIMITED - #539402 -
THIMPHU,united_colors_of_benetton,,unknown,Benetton Thimphu
