Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
2401,systembolaget_se,Rådhusesplanaden 6 E,,UMEÅ,Västerbottens län,,SE,,,Mo-Fr 10:00-19:00; Sa 10:00-15:00,Systembolaget,Q1476113
2402,systembolaget_se,Strömpilsplatsen 29,,UMEÅ,Västerbottens län,,SE,,,Mo-Fr 10:00-19:00; Sa 10:00-15:00,Systembolaget,Q1476113
2403,systembolaget_se,Solbacken,,SKELLEFTEÅ,Västerbottens län,,SE,,,Mo-Fr 10:00-19:00; Sa 10:00-15:00,Systembolaget,Q1476113
2404,systembolaget_se,Nygatan 50,,SKELLEFTEÅ,Västerbottens län,,SE,,,Mo-Fr 10:00-19:00; Sa 10:00-15:00,Systembolaget,Q1476113
2405,systembolaget_se,Östra Järnvägsgatan 7,,VÄNNÄS,Västerbottens län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2406,systembolaget_se,Storgatan 25,,LYCKSELE,Västerbottens län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2407,systembolaget_se,Volgsjövägen 44,,VILHELMINA,Västerbottens län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2408,systembolaget_se,Stationsgatan 5,,STORUMAN,Västerbottens län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2409,systembolaget_se,Storgatan 33,,ÅSELE,Västerbottens län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2410,systembolaget_se,Storgatan 23,,MALÅ,Västerbottens län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2411,systembolaget_se,Strandvägen 5,,SORSELE,Västerbottens län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2412,systembolaget_se,Parkvägen 1,,DOROTEA,Västerbottens län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2413,systembolaget_se,Affärsvägen 1,,NORDMALING,Västerbottens län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2414,systembolaget_se,Storgatan 72,,NORSJÖ,Västerbottens län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2415,systembolaget_se,Järnvägsallén 5,,VINDELN,Västerbottens län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2416,systembolaget_se,Ersboda,,UMEÅ,Västerbottens län,,SE,,,Mo-Fr 10:00-20:00; Sa 10:00-15:00,Systembolaget,Q1476113
2417,systembolaget_se,Storgatan 29 B,,ROBERTSFORS,Västerbottens län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2418,systembolaget_se,Storgatan 6,,BJURHOLM,Västerbottens län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Systembolaget,Q1476113
2419,systembolaget_se,Blå Vägen 35,,HEMAVAN,Västerbottens län,,SE,,,Mo-Fr 10:00-18:00; Sa 10:00-15:00,Systembolaget,Q1476113
2420,systembolaget_se,Avion,,UMEÅ,Västerbottens län,,SE,,,Mo-Fr 10:00-20:00; Sa 10:00-15:00,Systembolaget,Q1476113
