City,Place Name,Zipcode,Name
unknown,boots_th,"Unit S123 G Floor Hau Hin Market Village 
234/1 Petchakhasem Road T. Hau Hin 
Prajubkririkun 77110",unknown,HUA HIN 2
unknown,boots_th,"Unit AB117 B Floor Hau Hin Market Village 
234/1 Petchakhasem Road T. Hau Hin 
Prajubkririkun 77110",unknown,Hua Hin Market Village B
unknown,boots_th,Unit B22/1-2 B Floor Bluport Hua Hin Resort Mall 8/89 Soi Nong Kae Nong Kae Hua Hin Prachuabkhirikhan 77110,unknown,Bluport Hua Hin
ประจวบคีรีขันธ์,caltex,,unknown,คาลเท็กซ์ สาขาณัฐพนธ์ ออยล์
ประจวบคีรีขันธ์,nissan_europe,,unknown,เบ๊เจริญ อินเตอร์กรุ๊ป สำนักงานใหญ่
unknown,pizza_hut_th,94/5-6 Phetkasem Road Huahin Subdistrict Huahin District Prachuap Khiri Khan Province 77110,unknown,Hua Hin
A.HUAHIN,shell,,unknown,CO FUTURE ENERGY STATION HUA HIN
T.HILEKFAI  A.HUAHIN,shell,,unknown,DO  PHOPRASERT  NONGPHLAP PKN
T.KAO-NOI A.PRANBURI,shell,,unknown,CO PREME RETAIL B2 PRANBURI PKN
T.NONGTATAEM A.PRANBURI,shell,,unknown,CO PREME RETAIL B3 PRANBURI DAM PKN
A.MUEANG,shell,,unknown,CO TERMTEMSOOK B1 KOLAK PKN
T.PRACHUAP KHIRI KHAN A.MUEANG,shell,,unknown,CO TERMTEMSOOK PRACHUAP PKN
T.HUAYANG A.TUPSAKAE,shell,,unknown,DO RIANCHAI OIL  TUPSAKAE  PKN
T.RONTHONG A.BANGSAPARN,shell,,unknown,CO NITUS OIL BANGSAPHAN PKN
PRACHUAP KHIRI KHAN,visa,,unknown,unknown
BANG SAPHAN,visa,,unknown,unknown
THAP SAKAE,visa,,unknown,unknown
HUA HIN,visa,,unknown,unknown
Hua Hin,western_union,,unknown,146 52 SOIMOOBAN TAKIAP
Prachuap Khiri Khan,western_union,,unknown,THAI COLD ROLLED STEEL SHEET
Mueang,western_union,,unknown,BBL KHLONG WAN
Huahin,western_union,,unknown,7-11 CHECK IN HUAHIN
Pran Buri,western_union,,unknown,BAAC PRANBURI
Sam Roi Yot,western_union,,unknown,THAILAND POST SAM ROI YOT
Kui Buri,western_union,,unknown,THAILAND POST KUI BURI
Bang Saphan,western_union,,unknown,THAILAND POST BANG SAPHAN
Bang Saphan Noi,western_union,,unknown,BBL BANG SAPHAN NOI
Thap Sakae,western_union,,unknown,BAAC THAP SAKAE
