Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68354125,moneygram,A-BANK - SIEVERODONETSK,,SIEVERODONETSK,,,UA,+380 99 971 6759,,Mo-Fr 09:00-18:00; Sa 09:00-16:00; Su 00:00-24:00,MoneyGram,Q1944412
69139035,moneygram,OSCHADBANK - TOBO - 10012-011,,SIEVERODONETSK,,,UA,25244067,,Mo 00:00-24:00; Tu-Fr 08:30-17:00; Sa 08:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
70475937,moneygram,OSCHADBANK - #TOBO - 10012-020 - SIEVERO,,SIEVERODONETSK,,,UA,+380 50 529 2084,,Mo-Th 09:00-17:00; Fr 09:00-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65031946,moneygram,PRIVATBANK,,SIEVERODONETSK,,,UA,3700,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66282231,moneygram,PRIVATBANK,,SIEVERODONETSK,,,UA,3700,,Mo-Fr 08:30-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
67043217,moneygram,OSCHADBANK - TOBO 10012 013,,SIEVERODONETSK,,,UA,+380 6452 30284,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
67043220,moneygram,OSCHADBANK - TOBO 10012 015,,SIEVERODONETSK,,,UA,+380 6452 30284,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
67043204,moneygram,OSCHADBANK - TOBO 10012 08,,SIEVERODONETSK,,,UA,+380 6452 30284,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
67043233,moneygram,OSCHADBANK - TOBO 10012 017,,SIEVERODONETSK,,,UA,+380 6452 30284,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
67036305,moneygram,OSCHADBANK - TOBO 10012 07 F-L LUGANSKOG,,SIEVERODONETSK,,,UA,+380 6452 32189,,Mo-Fr 08:00-18:00; Sa-Su 08:00-14:00,MoneyGram,Q1944412
67050051,moneygram,OSCHADBANK - TOBO 10012 010,,SIEVERODONETSK,,,UA,+380 6452 30284,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
67050064,moneygram,OSCHADBANK - TOBO 10012 016,,SIEVERODONETSK,,,UA,+380 67 641 1315,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
67056398,moneygram,OSCHADBANK - TOBO 10012 012,,SIEVERODONETSK,,,UA,+380 6452 30284,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
67912555,moneygram,OSCHADBANK - TOBO - 10012-09,,SIEVERODONETSK,,,UA,252712235,,Mo-Fr 08:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
