Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72016572,moneygram,POLARIS BANK LIMITED - #137 - OGUN - OGU,,OGUN,,,NG,+234 1 454 0032,,Mo-Su 08:00-18:00,MoneyGram,Q1944412
72017102,moneygram,POLARIS BANK LIMITED - #222 - OGUN - OGU,,OGUN,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72017115,moneygram,POLARIS BANK LIMITED - #223 - OGUN - OGU,,OGUN,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72017128,moneygram,POLARIS BANK LIMITED - #224 - OGUN - OGU,,OGUN,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72017131,moneygram,POLARIS BANK LIMITED - #227 - OGUN - OGU,,OGUN,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72017157,moneygram,POLARIS BANK LIMITED - #230 - OGUN - OGU,,OGUN,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72017267,moneygram,POLARIS BANK LIMITED - #251 - OGUN - OGU,,OGUN,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72018774,moneygram,POLARIS BANK LIMITED - #491 - OGUN - IJE,,OGUN,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72019126,moneygram,POLARIS BANK LIMITED - #578 - OGUN - BIS,,OGUN,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72019236,moneygram,POLARIS BANK LIMITED - #588 - OGUN - FED,,OGUN,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72019333,moneygram,POLARIS BANK LIMITED - #598 - OGUN - ITO,,OGUN,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72019511,moneygram,POLARIS BANK LIMITED - #616 - OGUN - OOU,,OGUN,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72019618,moneygram,POLARIS BANK LIMITED - #626 - OGUN - TAS,,OGUN,,,NG,+234 1 454 0032,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
69723580,moneygram,STANBICIBTC BANK - OGUN - SANGO-OTTA 2,,OGUN,,,NG,+234 1 442 7723,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
