Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
73371740,moneygram,BANK OF ABYSSINIA - GENDE KORE BRANCH,,DIRE DEWA,,,ET,254110773,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74290668,moneygram,BANK OF ABYSSINIA - DIRE MEDHANEALEM BR,,DIRE DAWA,,,ET,254110706,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74290655,moneygram,BANK OF ABYSSINIA - SABIAN MADEYA BRANCH,,DIRE DAWA,,,ET,254110773,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74412828,moneygram,BANK OF ABYSSINIA - DIRE SEBATEGNA BRANC,,DIRE DAWA,,,ET,254110773,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74643794,moneygram,BANK OF ABYSSINIA - LEFE ISSA BRANCH,,LEFE ISSA,,,ET,254110773,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74687336,moneygram,BANK OF ABYSSINIA - JIGJIGA - DAWA BRANC,,JIGJIGA,,,ET,254110775,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74687323,moneygram,BANK OF ABYSSINIA - JIGJIGA - BULALE BRA,,JIGJIGA,,,ET,254110773,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74768789,moneygram,ABAY BANK S.C - #A36 - ADDIS KETEMA BRAN,,DIRE DAWA,,,ET,448779916,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74818066,moneygram,BANK OF ABYSSINIA - BAHIRDAR - KOTETINA,,BAHIRDAR,,,ET,583209660,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74818079,moneygram,BANK OF ABYSSINIA - GISH ABAY - SEKELA B,,GISH ABAY,,,ET,583205391,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72681402,moneygram,BANK OF ABYSSINIA - BAB-SELAM BRANCH,,HARAR,,,ET,254664955,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
