Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72379840,moneygram,DIAMOND BANK PLC - #170 - KADUNA - KADUN,,KADUNA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380143,moneygram,DIAMOND BANK PLC - #201 - KADUNA - ISA K,,KADUNA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379125,moneygram,DIAMOND BANK PLC - JAJI,,KADUNA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380826,moneygram,DIAMOND BANK PLC - KADUNA REFINERY MINI,,KADUNA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379484,moneygram,DIAMOND BANK PLC - KAFANCHAN,,KAFANCHAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380839,moneygram,DIAMOND BANK PLC - ZARIA MINI,,ZARIA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625426,moneygram,ACCESS BANK PLC - JAJI,,KADUNA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626441,moneygram,ACCESS BANK PLC - KADUNA - ISA KAITA,,KADUNA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626140,moneygram,ACCESS BANK PLC - KADUNA - KADUNA BENIN,,KADUNA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72627123,moneygram,ACCESS BANK PLC - KADUNA REFINERY MINI,,KADUNA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625785,moneygram,ACCESS BANK PLC - KAFANCHAN,,KAFANCHAN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72627136,moneygram,ACCESS BANK PLC - ZARIA MINI,,ZARIA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
