City,Place Name,Zipcode,Name
Žďár nad Sázavou,dr_max,,unknown,"Chelčického 2376/7, Žďár nad Sázavou (Kaufland)"
Jihlava,mercedes_benz,,unknown,AUTO JIHLAVA s.r.o.
JEMNICE,visa,,unknown,unknown
MORAVSKE BUDĚJOVICE,visa,,unknown,unknown
TELČ,visa,,unknown,unknown
JAROMĚŘICE NAD ROKYTNOU,visa,,unknown,unknown
ČERNOVICE,visa,,unknown,unknown
TŘEBIČ,visa,,unknown,unknown
PACOV,visa,,unknown,unknown
PELHŘIMOV,visa,,unknown,unknown
NAMĚŠŤ NAD OSLAVOU,visa,,unknown,unknown
JIHLAVA,visa,,unknown,unknown
LUKA NAD JIHLAVOU,visa,,unknown,unknown
VELKA BITEŠ,visa,,unknown,unknown
VELKE MEZIŘIČI,visa,,unknown,unknown
HUMPOLEC,visa,,unknown,unknown
HAVLIČKŮV BROD,visa,,unknown,unknown
LEDEČ NAD SAZAVOU,visa,,unknown,unknown
SVĚTLA NAD SAZAVOU,visa,,unknown,unknown
ŽĎAR NAD SAZAVOU,visa,,unknown,unknown
NOVE MĚSTO NA MORAVĚ,visa,,unknown,unknown
BYSTŘICE NAD PERNŠTEJNEM,visa,,unknown,unknown
CHOTĚBOŘ,visa,,unknown,unknown
