Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68920122,moneygram,ARTHAPOS - #JKT - JAKARTA TIMUR - KPRK P,,JAKARTA TIMUR,,,ID,+62 21 71794849,,Mo-Sa 06:00-22:00; Su 07:00-15:00,MoneyGram,Q1944412
71690203,moneygram,BTN - JAKARTA TIMUR - CIPAYUNG,,JAKARTA TIMUR,,,ID,+62 21 8448806,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690368,moneygram,BTN - JAKARTA TIMUR - UTAN KAYU,,JAKARTA TIMUR,,,ID,+62 21 47884930,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691079,moneygram,BTN - JAKARTA TIMUR - DUREN SAWIT,,JAKARTA TIMUR,,,ID,+62 21 87784014,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691147,moneygram,BTN - JAKARTA TIMUR - PONDOK KELAPA,,JAKARTA TIMUR,,,ID,+62 21 4803086,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691189,moneygram,BTN - JAKARTA TIMUR - OTISTA,,JAKARTA TIMUR,,,ID,+62 21 8001655,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691228,moneygram,BTN - JAKARTA TIMUR - JATIWARINGIN,,JAKARTA TIMUR,,,ID,+62 21 87796833,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692900,moneygram,BTN - JAKARTA TIMUR - UNJ,,JAKARTA TIMUR,,,ID,+62 21 2310490,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691066,moneygram,BTN - JAKARTA TIMUR - KALIMALANG,,JAKARTA TIMUR,,,ID,+62 21 85918467,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691118,moneygram,BTN - JAKARTA TIMUR - KRAMAT JATI,,JAKARTA TIMUR,,,ID,+62 21 86605233,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691024,moneygram,BTN - JAKARTA TIMUR - PASAR REBO,,JAKARTA TIMUR,,,ID,+62 21 5346472,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691082,moneygram,BTN - JAKARTA TIMUR - PERUMNAS KLENDER,,JAKARTA TIMUR,,,ID,+62 21 8008016,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691121,moneygram,BTN - JAKARTA TIMUR - CIPINANG ELOK,,JAKARTA TIMUR,,,ID,+62 21 8604278,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692188,moneygram,BTN - JAKARTA TIMUR - JAKARTA JATINEGARA,,JAKARTA TIMUR,,,ID,+62 21 3860617,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691105,moneygram,BTN - JAKARTA TIMUR - PONDOK BAMBU,,JAKARTA TIMUR,,,ID,+62 21 8606658,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
