Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72057463,moneygram,EXIM BANK COMORES SA - MORONI,,MORONI,,,KM,+269 773 94 00,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72057476,moneygram,EXIM BANK COMORES SA - MORONI,,MORONI,,,KM,+269 773 94 00,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72057489,moneygram,EXIM BANK COMORES SA - MORONI,,MORONI,,,KM,+269 773 94 00,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72057492,moneygram,EXIM BANK COMORES SA - MORONI,,MORONI,,,KM,+269 773 94 00,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72057502,moneygram,EXIM BANK COMORES SA - MORONI,,MORONI,,,KM,+269 773 94 00,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72057515,moneygram,EXIM BANK COMORES SA - MORONI,,MORONI,,,KM,+269 773 94 00,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72057528,moneygram,EXIM BANK COMORES SA - MORONI,,MORONI,,,KM,+269 773 94 00,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72057531,moneygram,EXIM BANK COMORES SA - MORONI,,MORONI,,,KM,+269 773 94 00,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71752992,moneygram,EXIM BANK COMORES SA - MORONI - GOBADJOU,,MORONI,,,KM,+269 773 94 01,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
72666401,moneygram,ACF MONEYGRAM - MUTSAMUDU,,MUTSAMUDU,,,KM,+269 773 25 40,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
71093994,moneygram,EXIM BANK COMORES SA - MORONI - GARE DU,,MORONI,,,KM,+269 773 25 40,,Mo-Sa 07:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
71554750,moneygram,SANDUK - MORONI - KAZ SANDUK,,MORONI,,,KM,+269 773 94 00,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71554776,moneygram,SANDUK - MORONI - OUELLAH,,MORONI,,,KM,+269 773 94 02,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71554763,moneygram,SANDUK - MORONI - GNAMBENI,,MORONI,,,KM,+269 773 94 01,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71753742,moneygram,EXIM BANK COMORES SA - MORONI - SANDUK B,,MORONI,,,KM,+269 773 94 02,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71753755,moneygram,EXIM BANK COMORES SA - MORONI - SANDUK B,,MORONI,,,KM,+269 773 94 02,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71753700,moneygram,EXIM BANK COMORES SA - MORONI - SANDUK D,,MORONI,,,KM,+269 773 94 02,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71753726,moneygram,EXIM BANK COMORES SA - MORONI - SANDUK D,,MORONI,,,KM,+269 773 94 02,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71753771,moneygram,EXIM BANK COMORES SA - MORONI - SANDUK I,,MORONI,,,KM,+269 773 94 02,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71753687,moneygram,EXIM BANK COMORES SA - MORONI - SANDUK M,,MORONI,,,KM,+269 773 94 00,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71753690,moneygram,EXIM BANK COMORES SA - MORONI - SANDUK M,,MORONI,,,KM,+269 773 94 01,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71753768,moneygram,EXIM BANK COMORES SA - MORONI - SANDUK M,,MORONI,,,KM,+269 773 94 02,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71753739,moneygram,EXIM BANK COMORES SA - MORONI - SANDUK T,,MORONI,,,KM,+269 773 94 02,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71753713,moneygram,EXIM BANK COMORES SA - MORONI - SANDUK V,,MORONI,,,KM,+269 773 94 02,,Mo-Sa 07:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71936967,moneygram,EXIM BANK COMORES SA - MORONI - GOLD LOA,,MORONI,,,KM,+269 773 99 40,,Mo-Sa 07:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
