Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
73018773,moneygram,ACCESS BANK PLC - ABUJALADOKE AKINTOLA,,ABUJA,,,NG,+234 901 271 2005,,Mo-Fr 08:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73018650,moneygram,ACCESS BANK PLC - DEI DEI BUILDING MATER,,ABUJA,,,NG,+234 901 271 2005,,Mo-Fr 08:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73018702,moneygram,ACCESS BANK PLC - GARKI ABUJA AHMADU BE,,ABUJA,,,NG,+234 901 271 2005,,Mo-Fr 08:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73018689,moneygram,ACCESS BANK PLC - GARKI ABUJA MOHAMMED,,ABUJA,,,NG,+234 901 271 2005,,Mo-Fr 08:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73018757,moneygram,ACCESS BANK PLC - GWARINPA,,ABUJA,,,NG,+234 901 271 2005,,Mo-Fr 08:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73018786,moneygram,ACCESS BANK PLC - LIFE CAMP ABUJA JABI-,,ABUJA,,,NG,+234 901 271 2005,,Mo-Fr 08:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73018692,moneygram,ACCESS BANK PLC - NYANYA ABUJA OPP. NYA,,ABUJA,,,NG,+234 901 271 2005,,Mo-Fr 08:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73018812,moneygram,ACCESS BANK PLC - RET SHOP - GUDU MARKET,,ABUJA,,,NG,+234 901 271 2005,,Mo-Fr 08:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73018809,moneygram,ACCESS BANK PLC - RET SHOP -AREA 1 COMPL,,ABUJA,,,NG,+234 901 271 2005,,Mo-Fr 08:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73018663,moneygram,ACCESS BANK PLC - RET SHOP -FED. SECRETA,,ABUJA,,,NG,+234 901 271 2005,,Mo-Fr 08:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73018799,moneygram,ACCESS BANK PLC - RET SHOP- SAVANNAH SUI,,ABUJA,,,NG,+234 901 271 2005,,Mo-Fr 08:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73018744,moneygram,ACCESS BANK PLC - WUSE 2 ABUJA AMINU KA,,ABUJA,,,NG,+234 901 271 2005,,Mo-Fr 08:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73018676,moneygram,ACCESS BANK PLC - WUSE II ABUJA ADETOKU,,ABUJA,,,NG,+234 901 271 2005,,Mo-Fr 08:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73018760,moneygram,ACCESS BANK PLC - ZONE 5 ABUJA MICHAEL,,ABUJA,,,NG,+234 901 271 2005,,Mo-Fr 08:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
