City,Place Name,Zipcode,Name
unknown,boots_th,"Unit BF-C-05-06 BF Floor Robinson Rachburi 
265 Sri Suriyawong Rd. T. Nha Mueng A. Mueng Rachburi 70000",unknown,Robinson Rachburi
unknown,boots_th,110 Moo5. Nong-o Banpong Ratchaburi 70110.,unknown,Tesco Banpong
ราชบุรี,caltex,,unknown,คาลเท็กซ์ สาขาศุภสัณห์ ปิโตรเลียม
ราชบุรี,nissan_europe,,unknown,สยามนิสสัน ราชบุรีมอเตอร์ สำนักงานใหญ่
unknown,pizza_hut_th,8/4 Kathathorn Road Na Mueang Subdistrict Mueang Ratchaburi District Ratchaburi 70000,unknown,Lotus Ratchaburi
unknown,pizza_hut_th,3/11-12-13 Sangchuto Road Banpong Subdistrict Banpong District Ratchaburi 70110,unknown,PH-BANGPONG RATCHABURI
T.WANGMANAO  A.PAK THO,shell,,unknown,CO PREME WANGMANAO RBR
A.MUANG,shell,,unknown,CO FUTURE ENERGY B1 NA MUEANG RBR
T.KHOK MO A.MUEANG RATCHABURI,shell,,unknown,CO KAEWKIRIYA B2 PHETKASEM RBR.
T.HUAPHO  A.BANGPHAE,shell,,unknown,DO D.OIL BANGPHAE RBR
T.BANSING A.PHOTHARAM,shell,,unknown,DO PHOTHARAM B1 BANSING RBR
T.BANLEUK A.PHOTHARAM,shell,,unknown,DO PHOTHARAM  BANLEUK RBR
SUAN PHUENG,visa,,unknown,unknown
RATCHABURI,visa,,unknown,unknown
CHOM BUENG,visa,,unknown,unknown
MUEANG,visa,,unknown,unknown
BAN PONG,visa,,unknown,unknown
PHOTHARAM,visa,,unknown,unknown
PAK THO,visa,,unknown,unknown
MUEANG RATCHABURI,visa,,unknown,unknown
BANGPONG,visa,,unknown,unknown
DAMNEON SADUAK,visa,,unknown,unknown
BANG PHAE,visa,,unknown,unknown
DAMNOEN SADUAK,visa,,unknown,unknown
Ratchaburi,western_union,,unknown,RAJA SERAMIIC # 2
Bang Phae,western_union,,unknown,BAAC BANG PARE
Suan Phueng,western_union,,unknown,BAAC SUAN PHUNG
Pak Tho,western_union,,unknown,KTB PAK THO
Wat Phleng,western_union,,unknown,BBL WAT PHLENG
Chom Bueng,western_union,,unknown,BBL CHOMBUNG
Mueang,western_union,,unknown,BBL SOMBOONKUL ROAD RATCHABURI BRANCH
Damnoen Saduak,western_union,,unknown,THAILAND POST LAKHAA
Photharam,western_union,,unknown,BBL NONG PHO
Ban Pong,western_union,,unknown,BAY HUAI KRA BOK
